Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"February 9, 2015",15619892,"$10,000",8.18%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$3,750 / month",17.15%,6 years ,953xx,N/a,N/a,N/a,maintenance,N/a,660-664,0,03/1980,$0.00,7,2,26,18,"$6,274.00",1,75.60%,75,1,n/a
"February 9, 2015",21361231,"$25,000",6.39%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,833 / month",10.39%,7 years ,606xx,N/a,N/a,N/a,CEO,N/a,700-704,0,06/1983,$0.00,8,0,13,28,"$33,734.00",1,85.00%,24,0,n/a
"February 9, 2015",30215712,"$12,375",17.57%,1.00%,Five years after issuance,Five years after issuance,RENT,"$2,717 / month",35.90%,10+ years ,104xx,N/a,N/a,N/a,mail service,N/a,685-689,0,12/2005,$0.00,21,0,31,n/a,"$24,245.00",0,48.00%,n/a,1,n/a
"February 9, 2015",35883779,"$31,000",9.17%,1.00%,Five years after issuance,Five years after issuance,OWN,"$5,833 / month",28.71%,10+ years ,932xx,N/a,N/a,N/a,Teacher,N/a,735-739,0,07/1999,$0.00,17,0,31,n/a,"$27,022.00",0,25.00%,n/a,0,n/a
"February 9, 2015",38852293,"$24,000",10.99%,1.00%,Five years after issuance,Five years after issuance,OWN,"$5,833 / month",24.57%,10+ years ,325xx,N/a,N/a,N/a,District Manager,N/a,700-704,0,08/1995,$0.00,9,1,22,3,"$18,841.00",0,35.20%,n/a,2,n/a
"February 9, 2015",38922389,"$35,000",10.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$9,304 / month",20.54%,2 years ,604xx,N/a,N/a,N/a,Private Markets Analyst,N/a,715-719,0,05/1998,$0.00,20,0,42,n/a,"$32,929.00",0,74.50%,n/a,0,n/a
"February 9, 2015",39329660,"$22,500",6.68%,1.00%,Three years after issuance,Five years after issuance,RENT,"$5,583 / month",22.06%,4 years ,245xx,N/a,N/a,N/a,Engineer,N/a,695-699,0,08/2007,$0.00,12,0,17,n/a,"$28,540.00",0,63.00%,n/a,0,n/a
"February 9, 2015",39379177,"$7,000",7.89%,1.00%,Three years after issuance,Five years after issuance,OWN,"$2,667 / month",19.35%,3 years ,440xx,N/a,N/a,N/a,IT Specialist,N/a,710-714,0,11/2006,$0.00,9,0,14,n/a,"$8,450.00",0,33.90%,n/a,0,n/a
"February 9, 2015",39379430,"$12,500",6.92%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,317 / month",26.53%,10+ years ,948xx,N/a,N/a,N/a,Chief of Staff,N/a,760-764,0,10/1986,$0.00,23,0,39,n/a,"$15,708.00",0,35.40%,n/a,0,n/a
"February 9, 2015",39522260,"$14,000",7.89%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$5,000 / month",20.33%,< 1 year ,331xx,N/a,N/a,N/a,Occupational Therapist,N/a,700-704,0,02/2007,$0.00,14,0,26,n/a,"$13,207.00",0,35.90%,n/a,0,n/a
