Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
360677,"$22,000","$22,000",11.48%,1.00%,"October 1, 2009","October 8, 2012","October 8, 2013",$0,MORTGAGE,"$6,667 / month",3.33%, 2 years 11 months,"Charlotte, NC",__,__,__,N/a,__,750-779,0,12/1998,$0.00,17,0,49,n/a,"$6,628.00",0,7.30%,n/a,1
389965,"$12,000","$12,000",12.18%,1.00%,"October 2, 2009","October 12, 2012","October 12, 2013",$0,MORTGAGE,"$5,238 / month",9.03%, 8 years 3 months,"Somerset, MA",__,__,__,N/a,__,679-713,0,09/1989,$0.00,10,0,22,50,"$16,353.00",0,31.90%,n/a,0
400248,"$8,000","$8,000",16.00%,1.00%,"October 5, 2009","October 11, 2012","October 11, 2013",$0,MORTGAGE,"$5,833 / month",17.21%, 7 years 9 months,"Memphis, TX",__,__,__,N/a,__,750-779,0,09/1997,$0.00,21,0,52,41,"$26,596.00",0,35.60%,n/a,7
415465,"$4,550","$4,550",13.57%,1.00%,"October 1, 2009","October 7, 2012","October 7, 2013",$0,RENT,"$10,833 / month",17.46%, 3 months,"Burbank, CA",__,__,__,N/a,__,679-713,0,08/1996,$0.00,10,0,22,54,"$66,461.00",0,90.10%,n/a,0
416212,"$11,000","$11,000",11.83%,1.00%,"October 1, 2009","October 12, 2012","October 12, 2013",$0,MORTGAGE,"$11,250 / month",19.67%,32 years ,"Happy Valley, OR",__,__,__,N/a,__,714-749,0,07/1978,$0.00,18,0,37,62,"$32,818.00",1,87.10%,96,0
416615,"$15,000","$15,000",8.94%,1.00%,"October 1, 2009","October 11, 2012","October 11, 2013",$0,MORTGAGE,"$6,000 / month",10.20%, 21 years 8 months,"Newfield, NJ",__,__,__,N/a,__,780+,0,03/1973,$0.00,6,0,18,n/a,"$4,254.00",0,23.90%,n/a,0
429404,"$5,300","$5,300",11.14%,1.00%,"October 2, 2009","October 10, 2012","October 10, 2013",$0,MORTGAGE,"$8,333 / month",8.47%, 3 years 9 months,"Mona, UT",__,__,__,N/a,__,714-749,0,05/1996,$0.00,5,0,32,n/a,"$73,258.00",0,89.90%,n/a,1
430205,"$14,000","$14,000",11.83%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,n/a,"$4,833 / month",8.23%, 1 month,"Hopewell, VA",__,__,__,N/a,__,714-749,0,10/2003,$0.00,5,0,8,n/a,$0.00,0,0.00%,n/a,2
430697,"$18,500","$18,500",13.57%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$6,583 / month",10.68%, 4 years 7 months,"Tewksbury, MA",__,__,__,N/a,__,679-713,0,06/1997,$0.00,5,1,29,3,"$6,495.00",0,42.70%,n/a,1
432225,"$15,000","$15,000",14.26%,1.00%,"October 1, 2009","September 29, 2012","September 29, 2013",$0,RENT,"$4,333 / month",19.68%, 13 years 4 months,"Stamford, CT",__,__,__,N/a,__,679-713,0,08/2000,$0.00,8,0,13,n/a,"$22,918.00",0,90.90%,n/a,1
435196,"$14,500","$14,500",8.94%,1.00%,"October 1, 2009","October 7, 2012","October 7, 2013",$0,MORTGAGE,"$8,167 / month",17.20%,4 years ,"Irvine, CA",__,__,__,N/a,__,750-779,0,09/1995,$0.00,8,0,25,n/a,"$5,564.00",0,20.70%,n/a,0
440058,"$13,800","$13,800",11.48%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,OWN,"$3,600 / month",23.61%, 16 years 6 months,"paterson, NJ",__,__,__,N/a,__,750-779,0,12/1985,$0.00,4,0,21,n/a,"$6,698.00",0,67.00%,n/a,0
440108,"$20,000","$20,000",11.48%,1.00%,"October 5, 2009","October 7, 2012","October 7, 2013",$0,RENT,"$6,500 / month",5.72%, 5 years 8 months,"Needham, MA",__,__,__,N/a,__,750-779,0,10/1999,$0.00,13,0,23,n/a,"$8,863.00",0,27.40%,n/a,1
440548,"$4,000","$4,000",8.59%,1.00%,"October 1, 2009","October 3, 2012","October 3, 2013",$0,RENT,"$7,083 / month",7.30%, 2 years 4 months,"NEW YORK, NY",__,__,__,N/a,__,714-749,0,12/1987,$0.00,6,0,17,n/a,"$19,817.00",0,64.10%,n/a,1
440579,"$12,875","$12,875",15.31%,1.00%,"October 1, 2009","September 23, 2012","September 23, 2013",$0,RENT,"$4,167 / month",24.17%, 3 months,"Wellington, FL",__,__,__,N/a,__,660-678,0,05/2000,$0.00,20,0,43,n/a,"$6,256.00",0,71.90%,n/a,0
441016,"$12,000","$12,000",14.96%,1.00%,"October 6, 2009","October 7, 2012","October 7, 2013",$0,RENT,"$3,167 / month",10.10%, 3 years 3 months,"WESTERLY, RI",__,__,__,N/a,__,679-713,0,09/2002,$0.00,3,0,11,32,"$12,315.00",0,80.00%,n/a,1
441028,"$7,000","$7,000",12.53%,1.00%,"October 2, 2009","October 9, 2012","October 9, 2013",$0,MORTGAGE,"$6,667 / month",15.93%,5 years ,"ALTAMONTE SPRINGS, FL",__,__,__,N/a,__,679-713,0,02/1998,$0.00,5,0,34,n/a,"$20,125.00",0,59.90%,n/a,2
441435,"$10,000","$10,000",15.31%,1.00%,"October 1, 2009","October 7, 2012","October 7, 2013",$0,RENT,"$2,167 / month",1.38%, 1 year 6 months,"Brooklyn, NY",__,__,__,N/a,__,780+,0,06/2003,$0.00,3,0,8,n/a,$425.00,0,2.10%,n/a,0
