Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
441460,"$20,000","$20,000",16.70%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$5,042 / month",20.94%,2 years ,"ALEXANDRIA, VA",__,__,__,N/a,__,660-678,0,09/1993,$0.00,8,1,16,16,"$28,332.00",0,81.20%,n/a,0
441787,"$10,000","$10,000",13.57%,1.00%,"October 1, 2009","September 27, 2012","September 27, 2013",$0,RENT,"$3,882 / month",21.17%, 3 years 2 months,"Los Angeles, CA",__,__,__,N/a,__,679-713,0,02/1998,$0.00,15,0,22,80,"$9,114.00",0,57.00%,n/a,0
441792,"$4,000","$4,000",8.59%,1.00%,"October 2, 2009","October 10, 2012","October 10, 2013",$0,MORTGAGE,"$3,750 / month",4.72%,4 years ,"Laveen, AZ",__,__,__,N/a,__,750-779,0,04/2001,$0.00,5,0,17,n/a,"$7,347.00",0,26.70%,n/a,1
442052,"$20,000","$20,000",12.18%,1.00%,"October 1, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$6,250 / month",18.45%, 2 years 2 months,"Harleysville, PA",__,__,__,N/a,__,714-749,0,01/1998,$0.00,17,0,53,n/a,"$29,074.00",0,46.20%,n/a,0
442140,"$25,000","$25,000",14.61%,1.00%,"October 6, 2009","October 6, 2012","October 6, 2013",$0,RENT,"$10,000 / month",20.52%, 5 months,"SAN FRANCISCO, CA",__,__,__,N/a,__,679-713,0,06/1994,$0.00,9,0,18,n/a,"$78,468.00",0,84.30%,n/a,2
442232,"$20,000","$20,000",11.83%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,MORTGAGE,"$6,667 / month",12.95%,14 years ,"WILBRAHAM, MA",__,__,__,N/a,__,714-749,0,08/1986,$0.00,13,0,37,n/a,"$20,586.00",0,37.50%,n/a,0
442775,"$10,000","$10,000",12.53%,1.00%,"October 1, 2009","September 29, 2012","September 29, 2013",$0,RENT,"$3,333 / month",20.46%, 9 months,"Clementon, NJ",__,__,__,N/a,__,679-713,0,10/2002,$0.00,9,0,18,n/a,"$7,722.00",0,66.10%,n/a,0
442958,"$8,000","$8,000",8.94%,1.00%,"October 5, 2009","September 29, 2012","September 29, 2013",$0,MORTGAGE,"$9,583 / month",2.70%, 8 years 9 months,"Coleman, WI",__,__,__,N/a,__,750-779,0,10/1990,$0.00,8,0,27,n/a,"$5,914.00",0,15.90%,n/a,4
443110,"$13,475","$13,475",14.26%,1.00%,"October 1, 2009","September 29, 2012","September 29, 2013",$0,RENT,"$2,917 / month",22.11%, 1 year 7 months,"Ellisville, MO",__,__,__,N/a,__,679-713,0,08/2000,$0.00,10,0,21,n/a,"$18,522.00",0,93.10%,n/a,0
443151,"$9,250","$9,250",12.87%,1.00%,"October 2, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$2,288 / month",18.97%, 1 year 6 months,"ASHLAND, OH",__,__,__,N/a,__,679-713,0,10/2002,$0.00,7,0,9,n/a,"$9,666.00",0,83.30%,n/a,0
443194,"$15,000","$15,000",13.22%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$4,333 / month",1.96%,2 years ,"MIDLOTHIAN, VA",__,__,__,N/a,__,714-749,0,11/2005,$0.00,6,0,6,n/a,"$2,425.00",0,29.20%,n/a,0
443206,"$20,000","$20,000",12.53%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,MORTGAGE,"$7,483 / month",18.72%, 11 years 10 months,"chicago, IL",__,__,__,N/a,__,714-749,0,09/2001,$0.00,9,0,16,n/a,"$55,770.00",0,62.00%,n/a,0
443237,"$6,250","$6,250",12.87%,1.00%,"October 5, 2009","October 13, 2012","October 13, 2013",$0,MORTGAGE,"$4,167 / month",21.84%,3 years ,"PALM BEACH GARDENS, FL",__,__,__,N/a,__,679-713,0,11/1997,$0.00,13,0,29,35,"$28,565.00",0,70.00%,n/a,1
443239,"$15,350","$15,350",12.18%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$4,524 / month",15.47%, 3 years 6 months,"OVERLAND PARK, KS",__,__,__,N/a,__,714-749,0,01/1997,$0.00,16,0,27,n/a,"$15,713.00",0,27.90%,n/a,5
443262,"$14,000","$14,000",15.65%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$4,167 / month",6.00%, 3 years 8 months,"Ambridge, PA",__,__,__,N/a,__,660-678,0,10/2000,$0.00,7,0,11,28,"$1,221.00",0,12.20%,n/a,3
443376,"$20,000","$20,000",13.92%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$5,750 / month",14.99%, 9 years 10 months,"Racine, WI",__,__,__,N/a,__,714-749,0,01/1987,$0.00,8,0,27,n/a,"$13,631.00",0,80.70%,n/a,7
443444,"$20,000","$20,000",16.35%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$4,917 / month",2.87%, 1 year 7 months,"Richmond, VA",__,__,__,N/a,__,750-779,0,08/2002,$0.00,3,0,10,n/a,"$11,341.00",0,32.20%,n/a,1
443530,"$20,000","$20,000",19.47%,1.00%,"October 1, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$12,500 / month",0.98%, 12 years 7 months,"Brooklyn, NY",__,__,__,N/a,__,660-678,0,02/1992,$0.00,4,0,20,36,"$29,518.00",0,97.40%,n/a,0
443682,"$15,000","$15,000",11.83%,1.00%,"October 1, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$5,375 / month",11.00%, 2 years 8 months,"CINCINNATI, OH",__,__,__,N/a,__,714-749,0,10/2001,$0.00,11,0,17,n/a,"$8,318.00",0,50.70%,n/a,1
443719,"$3,250","$3,250",14.26%,1.00%,"October 1, 2009","October 6, 2012","October 6, 2013",$0,MORTGAGE,"$4,167 / month",19.20%, 5 years 11 months,"Parker, CO",__,__,__,N/a,__,660-678,0,01/1998,$0.00,8,0,16,35,"$9,625.00",0,49.10%,n/a,2
443815,"$15,000","$15,000",12.18%,1.00%,"October 1, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$4,167 / month",21.24%, 8 years 4 months,"zephyrhills, FL",__,__,__,N/a,__,714-749,0,09/2000,$0.00,6,0,10,n/a,"$7,322.00",0,31.80%,n/a,0
443823,"$12,400","$12,400",11.83%,1.00%,"October 1, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$12,833 / month",17.38%, 5 years 3 months,"Indianapolis, IL",__,__,__,N/a,__,714-749,0,01/1990,$0.00,10,0,24,27,$452.00,0,8.40%,n/a,1
443833,"$14,400","$14,400",13.57%,1.00%,"October 2, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$5,000 / month",18.18%, 8 years 8 months,"Odessa, TX",__,__,__,N/a,__,679-713,0,12/1985,$0.00,8,0,23,37,"$8,927.00",1,51.90%,85,4
443838,"$20,000","$20,000",11.48%,1.00%,"October 2, 2009","October 4, 2012","October 4, 2013",$0,OWN,"$3,132 / month",10.19%, 2 years 8 months,"MOORHEAD, MN",__,__,__,N/a,__,750-779,0,11/1998,$0.00,6,0,11,n/a,"$5,110.00",0,36.50%,n/a,0
443878,"$20,000","$20,000",17.74%,1.00%,"October 5, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$6,364 / month",7.04%, 14 years 5 months,"Fair Oaks, CA",__,__,__,N/a,__,679-713,0,10/1995,$0.00,4,0,21,n/a,"$11,829.00",1,74.40%,107,3
443913,"$20,000","$20,000",13.57%,1.00%,"October 5, 2009","October 4, 2012","October 4, 2013",$0,RENT,"$7,500 / month",5.13%, 9 months,"LOS ANGELES, CA",__,__,__,N/a,__,679-713,0,12/1998,$0.00,17,1,25,16,"$17,470.00",0,25.10%,n/a,0
443923,"$24,250","$24,250",12.87%,1.00%,"October 2, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$17,500 / month",8.13%, 2 years 4 months,"VERNON ROCKVILLE, CT",__,__,__,N/a,__,714-749,0,06/1987,$0.00,18,1,56,22,"$30,159.00",0,63.60%,n/a,1
443965,"$13,000","$13,000",12.53%,1.00%,"October 2, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$22,000 / month",10.06%, 14 years 10 months,"Milford, NH",__,__,__,N/a,__,679-713,0,09/1986,$0.00,15,0,34,n/a,"$229,908.00",0,77.20%,n/a,1
443972,"$20,500","$20,500",14.96%,1.00%,"October 2, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$7,500 / month",16.12%, 5 years 3 months,"morgan, UT",__,__,__,N/a,__,750-779,0,07/1981,$0.00,21,0,44,n/a,"$5,090.00",0,7.10%,n/a,0
444020,"$25,000","$25,000",15.65%,1.00%,"October 2, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$8,417 / month",9.01%, 1 year 1 month,"Waunakee, WI",__,__,__,N/a,__,714-749,0,12/1995,$0.00,11,0,29,n/a,"$52,307.00",0,62.60%,n/a,3
444037,"$13,075","$13,075",16.70%,1.00%,"October 1, 2009","October 2, 2012","October 2, 2013",$0,RENT,"$4,767 / month",19.89%,2 years ,"Boston, MA",__,__,__,N/a,__,679-713,0,09/2001,$0.00,7,0,22,n/a,"$3,368.00",0,99.10%,n/a,0
444119,"$8,000","$8,000",12.87%,1.00%,"October 1, 2009","October 3, 2012","October 3, 2013",$0,RENT,"$3,583 / month",15.04%, 1 year 10 months,"lynnwood, WA",__,__,__,N/a,__,679-713,0,02/1983,$0.00,22,1,36,22,"$4,616.00",0,41.60%,n/a,1
444122,"$15,000","$15,000",11.83%,1.00%,"October 1, 2009","October 2, 2012","October 2, 2013",$0,RENT,"$5,269 / month",15.87%,n/a,"Valencia, CA",__,__,__,N/a,__,714-749,0,07/1986,$0.00,15,0,39,n/a,"$26,127.00",0,44.80%,n/a,1
444165,"$13,000","$13,000",13.57%,1.00%,"October 2, 2009","October 2, 2012","October 2, 2013",$0,OWN,"$3,307 / month",24.04%, 1 year 9 months,"Clatskanie, OR",__,__,__,N/a,__,679-713,0,06/1985,$0.00,8,0,25,n/a,"$20,688.00",0,91.50%,n/a,0
444186,"$2,800","$2,800",16.00%,1.00%,"October 1, 2009","October 3, 2012","October 3, 2013",$0,RENT,"$2,783 / month",14.77%, 3 years 3 months,"LAS VEGAS, NV",__,__,__,N/a,__,660-678,0,02/2006,$0.00,5,0,9,32,$339.00,0,12.10%,n/a,2
444192,"$10,000","$10,000",12.87%,1.00%,"October 1, 2009","October 3, 2012","October 3, 2013",$0,MORTGAGE,"$8,333 / month",15.29%,3 years ,"KIRKVILLE, NY",__,__,__,N/a,__,679-713,0,05/2001,$0.00,13,0,25,n/a,"$6,386.00",0,24.20%,n/a,4
444197,"$7,000","$7,000",12.53%,1.00%,"October 1, 2009","October 3, 2012","October 3, 2013",$0,MORTGAGE,"$4,583 / month",21.23%, 8 years 10 months,"Forest, VA",__,__,__,N/a,__,679-713,0,12/1994,$0.00,14,0,24,n/a,"$28,606.00",0,84.10%,n/a,0
444208,"$11,200","$11,200",12.18%,1.00%,"October 1, 2009","October 3, 2012","October 3, 2013",$0,RENT,"$3,000 / month",11.10%, 8 years 2 months,"SALEM, UT",__,__,__,N/a,__,679-713,0,01/1992,$0.00,8,0,16,n/a,"$17,715.00",0,79.00%,n/a,0
444216,"$15,000","$15,000",16.35%,1.00%,"October 2, 2009","October 3, 2012","October 3, 2013",$0,MORTGAGE,"$5,625 / month",9.00%, 1 year 10 months,"Greenwood, MO",__,__,__,N/a,__,660-678,0,02/1990,$0.00,9,0,19,n/a,"$14,201.00",0,71.40%,n/a,4
444234,"$15,000","$15,000",11.83%,1.00%,"October 1, 2009","October 7, 2012","October 7, 2013",$0,MORTGAGE,"$15,208 / month",9.26%, 3 years 3 months,"CARMEL, NY",__,__,__,N/a,__,714-749,0,02/1994,$0.00,8,1,23,23,"$75,854.00",0,46.20%,n/a,1
444280,"$4,500","$4,500",12.18%,1.00%,"October 1, 2009","October 5, 2012","October 5, 2013",$0,RENT,"$7,000 / month",0.07%, 10 months,"PRINCETON, NJ",__,__,__,N/a,__,679-713,0,09/1999,$0.00,7,0,12,71,$5.00,0,0.10%,n/a,0
444305,"$4,000","$4,000",11.83%,1.00%,"October 1, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$3,750 / month",1.57%, 2 months,"FAIRFIELD, CT",__,__,__,N/a,__,714-749,0,02/1981,$0.00,4,0,6,n/a,"$49,680.00",0,85.20%,n/a,1
444315,"$7,200","$7,200",13.22%,1.00%,"October 5, 2009","October 3, 2012","October 3, 2013",$0,OWN,"$4,201 / month",12.62%,1 year ,"Louisville, KY",__,__,__,N/a,__,679-713,0,04/2003,$0.00,16,4,20,21,"$1,007.00",0,24.00%,n/a,4
444372,"$24,000","$24,000",12.87%,1.00%,"October 2, 2009","October 4, 2012","October 4, 2013",$0,MORTGAGE,"$25,000 / month",0.54%, 2 years 4 months,"Rockville, MD",__,__,__,N/a,__,750-779,0,11/1997,$0.00,3,0,13,n/a,"$5,068.00",0,46.10%,n/a,1
444384,"$24,000","$24,000",15.65%,1.00%,"October 5, 2009","October 4, 2012","October 4, 2013",$0,MORTGAGE,"$27,083 / month",5.32%, 18 years 2 months,"Chicago, IL",__,__,__,N/a,__,679-713,0,07/1972,$0.00,10,1,25,13,"$388,892.00",0,6.10%,n/a,4
444401,"$25,000","$25,000",15.65%,1.00%,"October 5, 2009","October 4, 2012","October 4, 2013",$0,MORTGAGE,"$10,667 / month",21.02%, 20 years 3 months,"Palm Springs, CA",__,__,__,N/a,__,679-713,0,02/1985,$0.00,19,1,55,14,"$115,152.00",0,53.50%,n/a,4
444428,"$25,000","$25,000",15.65%,1.00%,"October 5, 2009","October 4, 2012","October 4, 2013",$0,MORTGAGE,"$13,333 / month",16.79%, 2 years 3 months,"PITTSFIELD, MA",__,__,__,N/a,__,679-713,0,10/2002,$0.00,15,0,20,n/a,"$30,459.00",0,67.80%,n/a,1
444440,"$5,000","$5,000",8.94%,1.00%,"October 5, 2009","October 4, 2012","October 4, 2013",$0,RENT,"$2,000 / month",19.20%, 2 years 9 months,"Los Angeles, CA",__,__,__,N/a,__,714-749,0,05/2004,$0.00,7,0,9,n/a,"$5,089.00",0,56.50%,n/a,0
444496,"$12,000","$12,000",17.74%,1.00%,"October 5, 2009","October 4, 2012","October 4, 2013",$0,OWN,"$5,417 / month",24.13%, 2 years 6 months,"Gillette, WY",__,__,__,N/a,__,660-678,0,10/1995,$0.00,8,0,20,40,"$19,714.00",0,97.60%,n/a,0
444498,"$2,500","$2,500",8.59%,1.00%,"October 1, 2009","October 4, 2012","October 4, 2013",$0,RENT,"$7,083 / month",23.53%, 1 year 6 months,"naples, FL",__,__,__,N/a,__,714-749,0,02/1990,$0.00,10,0,27,n/a,"$80,572.00",0,71.40%,n/a,0
444504,"$9,000","$9,000",13.22%,1.00%,"October 2, 2009","October 4, 2012","October 4, 2013",$0,MORTGAGE,"$4,833 / month",16.90%,5 years ,"eagle mountain, UT",__,__,__,N/a,__,679-713,0,12/1997,$0.00,12,0,19,64,"$11,274.00",0,72.50%,n/a,3
444554,"$9,500","$9,500",12.87%,1.00%,"October 1, 2009","October 4, 2012","October 4, 2013",$0,MORTGAGE,"$12,500 / month",2.50%, 6 years 8 months,"Arlington, MA",__,__,__,N/a,__,679-713,0,11/1995,$0.00,6,0,17,30,"$3,267.00",0,12.10%,n/a,0
444575,"$3,000","$3,000",11.14%,1.00%,"October 1, 2009","October 5, 2012","October 5, 2013",$0,RENT,"$2,000 / month",8.70%, 1 year 3 months,"Champaign, IL",__,__,__,N/a,__,714-749,0,09/2004,$0.00,5,0,5,n/a,"$6,941.00",0,39.20%,n/a,0
444583,"$25,000","$25,000",15.31%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$5,000 / month",22.38%, 37 years 3 months,"Kansas City, KS",__,__,__,N/a,__,679-713,0,12/1997,$0.00,11,0,24,n/a,"$42,430.00",0,81.80%,n/a,0
444594,"$16,000","$16,000",14.96%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$5,000 / month",21.54%, 8 years 2 months,"Brandon, FL",__,__,__,N/a,__,660-678,0,07/1975,$0.00,11,1,23,22,"$36,095.00",0,65.90%,n/a,1
444596,"$25,000","$25,000",12.18%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$8,541 / month",7.49%, 17 years 3 months,"Marietta, GA",__,__,__,N/a,__,714-749,0,03/1989,$0.00,9,0,35,n/a,"$67,492.00",0,55.70%,n/a,0
444605,"$5,000","$5,000",13.57%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,RENT,"$2,283 / month",21.42%, 6 months,"SALT LAKE CITY, UT",__,__,__,N/a,__,660-678,0,07/2004,$0.00,11,0,12,n/a,"$8,817.00",0,76.00%,n/a,1
444618,"$3,000","$3,000",7.74%,1.00%,"October 1, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$6,439 / month",7.33%, 9 years 8 months,"Broad Run, VA",__,__,__,N/a,__,714-749,0,09/1981,$0.00,7,0,11,n/a,"$37,721.00",0,64.60%,n/a,0
444665,"$25,000","$25,000",14.96%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$6,250 / month",6.30%, 13 years 4 months,"Wausau, WI",__,__,__,N/a,__,780+,0,07/1990,$0.00,7,0,23,n/a,"$3,793.00",0,14.30%,n/a,2
444732,"$25,000","$25,000",16.00%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,RENT,"$6,667 / month",17.83%, 12 years 6 months,"MILLBRAE, CA",__,__,__,N/a,__,679-713,0,08/1995,$0.00,9,0,45,31,"$17,426.00",0,52.20%,n/a,2
444739,"$5,000","$5,000",12.18%,1.00%,"October 1, 2009","October 5, 2012","October 5, 2013",$0,RENT,"$2,833 / month",2.22%, 3 months,"GLENDALE, AZ",__,__,__,N/a,__,679-713,0,10/2002,$0.00,11,0,16,n/a,"$2,070.00",0,60.90%,n/a,3
444805,"$13,800","$13,800",11.83%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,RENT,"$4,583 / month",20.86%,3 years ,"Houston, TX",__,__,__,N/a,__,714-749,0,06/1997,$0.00,10,0,20,n/a,"$21,981.00",0,59.60%,n/a,1
444831,"$24,000","$24,000",14.61%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$11,333 / month",21.94%, 6 years 9 months,"Ashburn, VA",__,__,__,N/a,__,679-713,0,07/1997,$0.00,19,0,48,n/a,"$124,784.00",0,73.20%,n/a,0
444832,"$22,000","$22,000",20.86%,1.00%,"October 5, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$18,333 / month",10.81%, 15 years 3 months,"Bowie, MD",__,__,__,N/a,__,660-678,0,06/1996,$0.00,13,0,43,n/a,"$109,901.00",0,66.50%,n/a,4
444835,"$4,500","$4,500",7.40%,1.00%,"October 1, 2009","October 6, 2012","October 6, 2013",$0,MORTGAGE,"$7,418 / month",6.77%, 25 years 8 months,"SHELBYVILLE, KY",__,__,__,N/a,__,780+,0,10/1993,$0.00,12,0,38,n/a,"$6,986.00",0,12.30%,n/a,0
444862,"$7,000","$7,000",7.74%,1.00%,"October 2, 2009","October 6, 2012","October 6, 2013",$0,MORTGAGE,"$8,750 / month",7.27%, 25 years 11 months,"DIBOLL, TX",__,__,__,N/a,__,750-779,0,02/1981,$0.00,11,0,28,29,"$7,283.00",0,7.60%,n/a,0
444884,"$15,600","$15,600",11.83%,1.00%,"October 1, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$6,250 / month",17.26%, 8 years 4 months,"Surprise, AZ",__,__,__,N/a,__,714-749,0,08/1993,$0.00,10,0,42,n/a,$256.00,1,1.70%,106,0
444886,"$6,000","$6,000",14.26%,1.00%,"October 5, 2009","October 6, 2012","October 6, 2013",$0,RENT,"$3,375 / month",20.83%,1 year ,"TWENTYNINE PALMS, CA",__,__,__,N/a,__,679-713,0,04/2006,$0.00,5,0,7,n/a,$12.00,0,1.50%,n/a,2
444900,"$4,200","$4,200",14.26%,1.00%,"October 1, 2009","October 6, 2012","October 6, 2013",$0,RENT,"$2,083 / month",5.14%, 1 year 1 month,"CREST HILL, IL",__,__,__,N/a,__,679-713,0,05/2000,$0.00,3,2,10,10,$0.00,0,0.00%,n/a,3
444901,"$25,000","$25,000",16.35%,1.00%,"October 6, 2009","October 6, 2012","October 6, 2013",$0,MORTGAGE,"$12,083 / month",14.32%, 2 years 7 months,"ROYAL OAK, MI",__,__,__,N/a,__,679-713,0,01/1997,$0.00,11,0,26,n/a,"$30,427.00",0,86.90%,n/a,1
444908,"$10,000","$10,000",13.57%,1.00%,"October 1, 2009","October 6, 2012","October 6, 2013",$0,MORTGAGE,"$3,750 / month",8.75%, 10 years 7 months,"Kearneysville, WV",__,__,__,N/a,__,679-713,0,04/1992,$0.00,7,0,20,31,"$24,223.00",0,72.70%,n/a,0
444910,"$16,000","$16,000",13.57%,1.00%,"October 2, 2009","October 6, 2012","October 6, 2013",$0,MORTGAGE,"$13,667 / month",6.67%, 8 months,"DEMAREST, NJ",__,__,__,N/a,__,714-749,0,09/1984,$0.00,10,0,32,25,$715.00,0,1.60%,n/a,6
