Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
448786,"$6,000","$6,000",11.48%,1.00%,"October 13, 2009","October 19, 2012","October 19, 2013",$0,MORTGAGE,"$3,333 / month",18.24%,n/a,"Dover, NH",__,__,__,N/a,__,679-713,0,01/1996,$0.00,7,0,19,n/a,"$15,955.00",0,70.90%,n/a,1
448803,"$7,750","$7,750",11.83%,1.00%,"October 8, 2009","October 19, 2012","October 19, 2013",$0,OWN,"$3,833 / month",13.31%, 1 year 6 months,"ALPHARETTA, GA",__,__,__,N/a,__,714-749,0,04/1997,$0.00,8,0,20,n/a,"$7,562.00",0,57.70%,n/a,4
448835,"$6,000","$6,000",12.53%,1.00%,"October 13, 2009","October 19, 2012","October 19, 2013",$0,MORTGAGE,"$4,333 / month",21.72%,1 year ,"Palm Beach Gardens, FL",__,__,__,N/a,__,679-713,0,04/2000,$0.00,7,0,23,24,"$4,742.00",0,36.80%,n/a,0
448916,"$10,000","$10,000",8.94%,1.00%,"October 8, 2009","October 19, 2012","October 19, 2013",$0,RENT,"$5,750 / month",9.53%,2 years ,"Pleasant Grove, AL",__,__,__,N/a,__,714-749,0,12/2002,$0.00,13,0,20,n/a,"$3,613.00",0,5.70%,n/a,0
448944,"$5,000","$5,000",8.94%,1.00%,"October 7, 2009","October 19, 2012","October 19, 2013",$0,MORTGAGE,"$2,083 / month",18.05%, 2 years 6 months,"Middletown, CT",__,__,__,N/a,__,714-749,0,04/2001,$0.00,5,0,15,n/a,"$9,268.00",0,47.50%,n/a,1
449108,"$6,000","$6,000",12.87%,1.00%,"October 13, 2009","October 20, 2012","October 20, 2013",$0,RENT,"$3,917 / month",3.75%, 1 year 4 months,"MCDONOUGH, GA",__,__,__,N/a,__,679-713,0,10/1995,$0.00,4,1,32,18,"$3,343.00",0,77.70%,n/a,1
449172,"$9,000","$9,000",8.94%,1.00%,"October 13, 2009","October 20, 2012","October 20, 2013",$0,RENT,"$3,512 / month",11.33%, 1 year 108 months,"LANCASTER, CA",__,__,__,N/a,__,714-749,0,04/2000,$0.00,10,0,30,n/a,"$13,421.00",0,67.40%,n/a,0
449212,"$7,500","$7,500",11.14%,1.00%,"October 9, 2009","October 20, 2012","October 20, 2013",$0,RENT,"$4,750 / month",19.79%,9 years ,"Franklin Park, IL",__,__,__,N/a,__,714-749,0,01/1997,$0.00,9,0,20,n/a,"$4,451.00",1,13.50%,112,1
449241,"$4,800","$4,800",8.59%,1.00%,"October 9, 2009","October 20, 2012","October 20, 2013",$0,RENT,"$2,253 / month",22.50%,n/a,"Wilmington, DE",__,__,__,N/a,__,750-779,0,02/2003,$0.00,16,0,26,n/a,$974.00,0,4.30%,n/a,1
449282,"$4,000","$4,000",12.87%,1.00%,"October 9, 2009","October 20, 2012","October 20, 2013",$0,MORTGAGE,"$5,417 / month",14.73%, 1 year 18 months,"ARLINGTON, VA",__,__,__,N/a,__,679-713,0,06/2001,$0.00,9,0,15,n/a,"$13,154.00",0,88.30%,n/a,1
