Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
445927,"$2,800","$2,800",7.40%,1.00%,"October 8, 2009","October 9, 2012","October 9, 2013",$0,MORTGAGE,"$4,158 / month",7.96%, 8 years 9 months,"SILVER SPRING, MD",__,__,__,N/a,__,780+,0,07/1970,$0.00,12,0,19,n/a,$562.00,0,1.00%,n/a,0
445933,"$9,000","$9,000",16.70%,1.00%,"October 7, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$4,583 / month",6.83%, 10+ years 8 months,"Fremont, CA",__,__,__,N/a,__,660-678,0,08/2006,$0.00,15,0,23,n/a,"$8,419.00",0,65.80%,n/a,0
445934,"$15,000","$15,000",16.00%,1.00%,"October 9, 2009","October 10, 2012","October 10, 2013",$0,MORTGAGE,"$7,917 / month",12.04%,4 years ,"WORCESTER, MA",__,__,__,N/a,__,660-678,0,08/1999,$0.00,15,0,27,51,"$17,814.00",0,59.60%,n/a,4
445989,"$6,000","$6,000",13.22%,1.00%,"October 7, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$2,600 / month",17.96%, 4 years 1 month,"Sanford, FL",__,__,__,N/a,__,679-713,0,10/2005,$0.00,4,0,8,n/a,$766.00,0,51.10%,n/a,0
446022,"$20,000","$20,000",17.04%,1.00%,"October 8, 2009","October 9, 2012","October 9, 2013",$0,MORTGAGE,"$32,083 / month",6.18%, 3 years 3 months,"lake bluff, IL",__,__,__,N/a,__,660-678,0,10/1988,$0.00,10,0,25,45,"$162,716.00",0,73.70%,n/a,1
446043,"$8,400","$8,400",15.31%,1.00%,"October 13, 2009","October 12, 2012","October 12, 2013",$0,MORTGAGE,"$6,250 / month",13.44%,10+ years ,"Milwaukee, WI",__,__,__,N/a,__,679-713,0,02/1990,$0.00,15,0,52,37,"$6,837.00",0,26.70%,n/a,7
446051,"$20,000","$20,000",13.57%,1.00%,"October 9, 2009","October 9, 2012","October 9, 2013",$0,"Thank You for your interest in funding. I am a 6th through 8th grade school counselor in the Milwaukee public school system. Single wage earner. Paying mortgage 1,462.00, car payment is 493.00. Hope this helps. Thanks.","$5,000 / month",21.22%, 4 years 9 months,"Atlanta, GA",__,__,__,N/a,__,679-713,0,12/1995,$0.00,8,0,16,n/a,"$53,483.00",0,70.90%,n/a,4
446058,"$15,000","$15,000",15.31%,1.00%,"October 9, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$6,917 / month",5.39%, 3 years 1 month,"CHICAGO, IL",__,__,__,N/a,__,660-678,0,03/1993,$0.00,15,0,40,57,"$16,034.00",0,72.20%,n/a,4
446075,"$10,000","$10,000",12.18%,1.00%,"October 7, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$3,333 / month",23.01%,8 years ,"BERGENFIELD, NJ",__,__,__,N/a,__,750-779,0,05/1997,$0.00,3,0,13,48,$0.00,0,5.34%,n/a,2
446167,"$12,500","$12,500",14.26%,1.00%,"October 9, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$2,750 / month",8.11%,4 years ,"S St Paul, MN",__,__,__,N/a,__,679-713,0,11/1998,$0.00,22,0,33,71,"$16,941.00",0,36.50%,n/a,2
446189,"$10,000","$10,000",18.43%,1.00%,"October 7, 2009","October 9, 2012","October 9, 2013",$0,MORTGAGE,"$5,500 / month",9.24%, 7 years 2 months,"Kennett, MO",__,__,__,N/a,__,679-713,0,11/1983,$0.00,6,0,17,n/a,"$5,538.00",1,64.40%,89,7
446211,"$13,750","$13,750",15.31%,1.00%,"October 9, 2009","October 9, 2012","October 9, 2013",$0,MORTGAGE,"$2,253 / month",15.53%, 1 year 3 months,"SOUTH WALES, NY",__,__,__,N/a,__,714-749,0,11/2004,$0.00,14,0,14,n/a,$48.00,0,1.80%,n/a,0
446223,"$11,000","$11,000",14.26%,1.00%,"October 9, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$10,333 / month",16.30%, 9 years 2 months,"Ann Arbor, MI",__,__,__,N/a,__,679-713,0,09/1973,$0.00,23,0,49,n/a,"$62,587.00",0,77.40%,n/a,3
446257,"$18,000","$18,000",14.96%,1.00%,"October 9, 2009","October 10, 2012","October 10, 2013",$0,MORTGAGE,"$8,500 / month",20.45%,1 year ,"Cibolo, TX",__,__,__,N/a,__,679-713,0,09/1992,$0.00,24,0,59,n/a,"$45,410.00",0,41.20%,n/a,0
446264,"$18,000","$18,000",13.57%,1.00%,"October 13, 2009","October 10, 2012","October 10, 2013",$0,MORTGAGE,"$8,167 / month",6.27%, 10+ years 6 months,"Swartz Creek, MI",__,__,__,N/a,__,679-713,0,12/1997,$0.00,16,1,63,14,"$22,910.00",0,53.30%,n/a,4
446277,"$15,200","$15,200",16.35%,1.00%,"October 9, 2009","October 10, 2012","October 10, 2013",$0,MORTGAGE,"$3,500 / month",18.57%,10+ years ,"Conyers, GA",__,__,__,N/a,__,679-713,0,08/1988,$0.00,16,0,32,n/a,"$21,389.00",0,69.90%,n/a,1
446346,"$20,000","$20,000",17.74%,1.00%,"October 9, 2009","October 10, 2012","October 10, 2013",$0,MORTGAGE,"$16,667 / month",8.89%,10+ years ,"cranston, RI",__,__,__,N/a,__,660-678,0,11/1995,$0.00,8,2,35,4,"$24,724.00",0,46.10%,n/a,3
446423,"$10,000","$10,000",11.83%,1.00%,"October 9, 2009","October 17, 2012","October 17, 2013",$0,MORTGAGE,"$2,773 / month",9.56%,1 year ,"DENVER, CO",__,__,__,N/a,__,714-749,0,09/2000,$0.00,3,0,4,n/a,"$9,424.00",0,50.40%,n/a,0
446474,"$5,000","$5,000",14.96%,1.00%,"October 8, 2009","October 11, 2012","October 11, 2013",$0,RENT,"$9,167 / month",11.92%, 5 years 4 months,"Warwick, NY",__,__,__,N/a,__,660-678,0,12/1999,$0.00,7,1,17,12,"$21,753.00",0,90.60%,n/a,2
446481,"$10,200","$10,200",13.92%,1.00%,"October 13, 2009","October 11, 2012","October 11, 2013",$0,MORTGAGE,"$4,583 / month",19.75%, 9 years 11 months,"Hempstead, NY",__,__,__,N/a,__,679-713,0,12/1997,$0.00,6,0,20,64,"$7,201.00",0,92.30%,n/a,0
446805,"$25,000","$25,000",11.83%,1.00%,"October 13, 2009","October 12, 2012","October 12, 2013",$0,RENT,"$20,833 / month",15.70%,1 year ,"Lothian, MD",__,__,__,N/a,__,750-779,0,07/1990,$0.00,19,0,42,n/a,"$290,341.00",0,38.00%,n/a,0
446810,"$7,000","$7,000",13.57%,1.00%,"October 13, 2009","October 13, 2012","October 13, 2013",$0,OWN,"$3,333 / month",16.32%,10+ years ,"CARTHAGE, TX",__,__,__,N/a,__,679-713,0,07/1997,$0.00,3,1,8,17,$911.00,0,45.50%,n/a,0
446866,"$12,500","$12,500",12.87%,1.00%,"October 13, 2009","October 12, 2012","October 12, 2013",$0,OWN,"$3,167 / month",10.39%, 4 months,"Langhorne, PA",__,__,__,N/a,__,679-713,0,03/2001,$0.00,21,0,36,n/a,"$12,343.00",0,67.80%,n/a,0
447032,"$20,000","$20,000",14.26%,1.00%,"October 13, 2009","October 12, 2012","October 12, 2013",$0,RENT,"$6,250 / month",8.02%, 2 years 3 months,"s bound brook, NJ",__,__,__,N/a,__,679-713,0,03/2000,$0.00,7,0,20,n/a,"$15,278.00",0,76.40%,n/a,3
447035,"$10,000","$10,000",15.31%,1.00%,"October 13, 2009","October 12, 2012","October 12, 2013",$0,RENT,"$3,000 / month",14.83%, 2 years 6 months,"BURNSVILLE, MN",__,__,__,N/a,__,660-678,0,11/2004,$0.00,7,0,9,n/a,"$6,922.00",0,74.40%,n/a,2
447040,"$25,000","$25,000",19.82%,1.00%,"October 13, 2009","October 13, 2012","October 13, 2013",$0,RENT,"$8,975 / month",20.28%,3 years ,"TEMPE, AZ",__,__,__,N/a,__,679-713,0,11/1997,$0.00,4,0,24,58,"$14,858.00",0,99.10%,n/a,4
447070,"$6,000","$6,000",7.40%,1.00%,"October 8, 2009","October 15, 2012","October 15, 2013",$0,MORTGAGE,"$8,710 / month",1.23%, 10+ years 2 months,"Kathleen, GA",__,__,__,N/a,__,780+,0,03/1995,$0.00,9,0,27,n/a,"$19,647.00",0,27.40%,n/a,0
447273,"$9,000","$9,000",8.94%,1.00%,"October 9, 2009","October 15, 2012","October 15, 2013",$0,MORTGAGE,"$3,083 / month",4.51%, 6 years 5 months,"Stuart, FL",__,__,__,N/a,__,714-749,0,10/1990,$0.00,6,0,19,n/a,"$8,321.00",0,30.70%,n/a,0
447294,"$12,000","$12,000",15.31%,1.00%,"October 13, 2009","October 13, 2012","October 13, 2013",$0,RENT,"$5,708 / month",13.10%, 4 years 11 months,"CHICAGO, IL",__,__,__,N/a,__,660-678,0,09/1998,$0.00,6,1,21,18,"$14,606.00",0,92.40%,n/a,1
447361,"$8,000","$8,000",12.53%,1.00%,"October 9, 2009","October 20, 2012","October 20, 2013",$0,RENT,"$3,917 / month",22.90%, 5 years 2 months,"DENVER, CO",__,__,__,N/a,__,679-713,0,09/1999,$0.00,13,0,21,n/a,"$7,013.00",0,54.80%,n/a,1
447369,"$5,000","$5,000",15.65%,1.00%,"October 13, 2009","October 14, 2012","October 14, 2013",$0,RENT,"$4,167 / month",8.14%,n/a,"ridgeland, MO",__,__,__,N/a,__,660-678,0,02/2006,$0.00,7,0,13,n/a,"$20,111.00",0,50.80%,n/a,3
447423,"$10,000","$10,000",18.09%,1.00%,"October 13, 2009","October 14, 2012","October 14, 2013",$0,RENT,"$6,525 / month",21.69%,2 years ,"COLONIAL HEIGHTS, VA",__,__,__,N/a,__,660-678,0,08/2000,$0.00,7,0,16,n/a,"$67,776.00",0,98.20%,n/a,2
447431,"$16,000","$16,000",12.53%,1.00%,"October 9, 2009","October 14, 2012","October 14, 2013",$0,MORTGAGE,"$4,417 / month",22.96%,10+ years ,"Proctor, MN",__,__,__,N/a,__,714-749,0,05/1993,$0.00,6,0,20,n/a,"$16,902.00",0,88.00%,n/a,0
447444,"$1,200","$1,200",8.94%,1.00%,"October 7, 2009","October 14, 2012","October 14, 2013",$0,MORTGAGE,"$2,000 / month",22.90%, 1 year 6 months,"PLACENTIA, CA",__,__,__,N/a,__,714-749,0,04/2003,$0.00,5,0,9,n/a,"$6,675.00",0,23.30%,n/a,1
447472,"$8,000","$8,000",13.92%,1.00%,"October 13, 2009","October 16, 2012","October 16, 2013",$0,OWN,"$7,083 / month",5.99%, 2 years 2 months,"FALLS CHURCH, VA",__,__,__,N/a,__,679-713,0,09/2001,$0.00,4,1,6,19,"$3,634.00",0,55.90%,n/a,0
447475,"$25,000","$25,000",12.18%,1.00%,"October 13, 2009","October 14, 2012","October 14, 2013",$0,RENT,"$6,667 / month",12.36%, 4 years 4 months,"Orlando, FL",__,__,__,N/a,__,714-749,0,02/1996,$0.00,11,0,29,n/a,"$47,256.00",0,31.60%,n/a,1
447490,"$10,000","$10,000",12.18%,1.00%,"October 13, 2009","October 14, 2012","October 14, 2013",$0,MORTGAGE,"$5,767 / month",18.22%, 4 years 2 months,"FRAMINGHAM, MA",__,__,__,N/a,__,679-713,0,10/1993,$0.00,13,0,35,n/a,"$17,604.00",0,72.10%,n/a,0
447491,"$9,000","$9,000",7.74%,1.00%,"October 7, 2009","October 15, 2012","October 15, 2013",$0,RENT,"$9,917 / month",8.47%, 3 years 1 month,"Acworth, GA",__,__,__,N/a,__,780+,0,12/1992,$0.00,11,0,38,n/a,"$2,525.00",0,7.30%,n/a,0
447558,"$6,000","$6,000",12.87%,1.00%,"October 9, 2009","October 14, 2012","October 14, 2013",$0,MORTGAGE,"$4,000 / month",0.00%, 8 years 4 months,"Statesboro, GA",__,__,__,N/a,__,714-749,0,06/1998,$0.00,2,2,4,7,$0.00,0,0.00%,n/a,2
447596,"$10,000","$10,000",12.18%,1.00%,"October 7, 2009","October 14, 2012","October 14, 2013",$0,OWN,"$5,000 / month",2.82%,6 years ,"Seattle, WA",__,__,__,N/a,__,679-713,0,08/2000,$0.00,6,0,12,n/a,"$1,250.00",0,5.60%,n/a,1
447666,"$13,500","$13,500",12.87%,1.00%,"October 13, 2009","October 14, 2012","October 14, 2013",$0,RENT,"$6,459 / month",15.88%, 10+ years 6 months,"San Francisco, CA",__,__,__,N/a,__,679-713,0,04/1986,$0.00,10,0,21,43,"$14,255.00",0,57.70%,n/a,0
447761,"$15,000","$15,000",8.94%,1.00%,"October 7, 2009","October 15, 2012","October 15, 2013",$0,RENT,"$6,500 / month",13.82%, 2 years 8 months,"Hayward, CA",__,__,__,N/a,__,750-779,0,01/1991,$0.00,7,0,23,n/a,$737.00,0,5.70%,n/a,3
447792,"$4,000","$4,000",8.59%,1.00%,"October 9, 2009","October 15, 2012","October 15, 2013",$0,OWN,$667 / month,9.45%,  0 year 7 months,"Lexington, OK",__,__,__,N/a,__,714-749,0,11/1997,$0.00,11,0,22,n/a,"$2,892.00",0,42.50%,n/a,2
447810,"$10,000","$10,000",12.18%,1.00%,"October 13, 2009","October 15, 2012","October 15, 2013",$0,RENT,"$2,600 / month",22.77%, 10+ years 2 months,"WAUKEGAN, IL",__,__,__,N/a,__,679-713,0,12/1987,$0.00,9,0,22,59,"$5,274.00",0,17.60%,n/a,2
447890,"$10,000","$10,000",11.83%,1.00%,"October 7, 2009","October 15, 2012","October 15, 2013",$0,OWN,"$4,667 / month",13.05%,10+ years ,"ROSWELL, NM",__,__,__,N/a,__,714-749,0,02/1997,$0.00,4,0,8,36,"$2,624.00",0,48.60%,n/a,0
447941,"$4,000","$4,000",11.48%,1.00%,"October 8, 2009","October 16, 2012","October 16, 2013",$0,RENT,"$3,333 / month",0.00%, 1 year 6 months,"York, PA",__,__,__,N/a,__,780+,0,10/1996,$0.00,2,0,4,n/a,$0.00,0,0.00%,n/a,1
448005,"$8,500","$8,500",7.74%,1.00%,"October 7, 2009","October 16, 2012","October 16, 2013",$0,MORTGAGE,"$3,504 / month",23.77%, 10+ years 5 months,"WATERBURY, CT",__,__,__,N/a,__,780+,0,05/1983,$0.00,8,0,17,n/a,"$9,955.00",0,20.00%,n/a,0
448055,"$20,000","$20,000",11.48%,1.00%,"October 13, 2009","October 16, 2012","October 16, 2013",$0,MORTGAGE,"$15,000 / month",0.39%, 10+ years 3 months,"Somerville, NJ",__,__,__,N/a,__,780+,0,05/1993,$0.00,6,0,9,n/a,"$4,085.00",0,4.70%,n/a,0
448110,"$12,000","$12,000",8.94%,1.00%,"October 13, 2009","October 16, 2012","October 16, 2013",$0,MORTGAGE,"$9,167 / month",8.95%, 1 year 6 months,"Braintree, MA",__,__,__,N/a,__,750-779,0,06/1996,$0.00,15,0,35,n/a,"$6,535.00",0,9.00%,n/a,2
