Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
38659631,"$8,475","$8,475",15.59%,1.00%,"January 22, 2015","January 20, 2018","January 20, 2020",$0,MORTGAGE,"$7,333 / month",13.21%,8 years ,440xx,N/a,N/a,N/a,Drilling Foreman,N/a,665-669,0,10/1996,$0.00,10,0,20,25,"$2,757.00",0,45.20%,n/a,0
38659852,"$35,000","$35,000",19.24%,1.00%,"January 22, 2015","January 21, 2018","January 21, 2020",$0,RENT,"$6,125 / month",24.60%,10+ years ,730xx,N/a,N/a,N/a,Engineering Technician,N/a,675-679,0,01/2005,$0.00,8,0,40,63,"$9,752.00",0,92.90%,n/a,0
38659924,"$10,000","$10,000",9.49%,1.00%,"January 22, 2015","January 21, 2018","January 21, 2020",$0,MORTGAGE,"$3,750 / month",10.40%,n/a,630xx,N/a,N/a,N/a,n/a,N/a,675-679,0,12/1998,$0.00,5,0,22,42,"$10,372.00",0,60.70%,n/a,0
38660290,"$7,000","$7,000",11.99%,1.00%,"January 23, 2015","January 21, 2018","January 21, 2020",$0,OWN,"$20,833 / month",2.20%,10+ years ,103xx,N/a,N/a,N/a,owner,N/a,680-684,0,06/2005,$0.00,3,0,10,42,"$10,370.00",1,71.50%,31,0
38660297,"$6,475","$6,475",17.14%,1.00%,"January 21, 2015","January 21, 2018","January 21, 2020",$0,MORTGAGE,"$2,542 / month",39.83%,n/a,601xx,N/a,N/a,N/a,n/a,N/a,680-684,0,12/2004,$0.00,14,0,22,47,"$15,435.00",0,57.80%,n/a,1
38697559,"$9,600","$9,600",12.39%,1.00%,"January 23, 2015","January 28, 2018","January 28, 2020",$0,MORTGAGE,"$7,667 / month",28.84%,10+ years ,089xx,N/a,N/a,N/a,Oncology Data Manger,N/a,685-689,0,02/1993,$0.00,9,3,21,16,"$22,349.00",0,92.70%,n/a,0
38698453,"$24,000","$24,000",15.59%,1.00%,"January 20, 2015","January 17, 2018","January 17, 2020",$0,MORTGAGE,"$7,083 / month",24.58%,10+ years ,970xx,N/a,N/a,N/a,Sr. Communications Consultant,N/a,705-709,0,12/1987,$0.00,11,0,36,n/a,"$39,722.00",0,66.00%,n/a,1
38698695,"$27,200","$27,200",24.50%,1.00%,"January 23, 2015","January 30, 2020","January 30, 2020",$0,RENT,"$5,667 / month",25.77%,10+ years ,191xx,N/a,N/a,N/a,"Crane operator ,Sales and Marketing.",N/a,670-674,0,11/2002,$0.00,8,0,17,n/a,"$29,773.00",0,79.80%,n/a,0
38698716,"$12,000","$12,000",11.99%,1.00%,"January 26, 2015","January 30, 2018","January 30, 2020",$0,MORTGAGE,"$4,333 / month",3.58%,10+ years ,482xx,N/a,N/a,N/a,Supervisor,N/a,670-674,0,01/2002,$0.00,4,0,12,24,"$6,518.00",0,72.40%,n/a,2
38699058,"$5,000","$5,000",11.99%,1.00%,"January 26, 2015","February 3, 2018","February 3, 2020",$0,OWN,"$3,000 / month",19.83%,10+ years ,156xx,N/a,N/a,N/a,Custodian,N/a,660-664,0,03/1983,$0.00,4,0,8,n/a,"$2,919.00",0,91.20%,n/a,1
38699081,"$20,000","$20,000",25.83%,1.00%,"January 22, 2015","January 22, 2020","January 22, 2020",$0,RENT,"$3,333 / month",16.44%,10+ years ,112xx,N/a,N/a,N/a,Paraprofesional,N/a,660-664,0,10/2000,$0.00,10,1,26,21,"$12,458.00",0,84.20%,n/a,1
38699103,"$17,875","$17,875",19.24%,1.00%,"January 23, 2015","February 4, 2018","February 4, 2020",$0,RENT,"$4,583 / month",19.50%,1 year ,711xx,N/a,N/a,N/a,Dock worker ,N/a,685-689,0,09/2011,$0.00,10,0,13,n/a,"$12,181.00",0,58.80%,n/a,0
38699117,"$12,000","$12,000",8.67%,1.00%,"January 26, 2015","February 5, 2018","February 5, 2020",$0,MORTGAGE,"$10,417 / month",30.35%,6 years ,117xx,N/a,N/a,N/a,svp,N/a,705-709,0,03/1991,$0.00,22,0,40,n/a,"$64,348.00",0,91.00%,n/a,1
38699187,"$18,000","$18,000",8.67%,1.00%,"January 21, 2015","January 19, 2018","January 19, 2020",$0,MORTGAGE,"$5,117 / month",18.53%,10+ years ,193xx,N/a,N/a,N/a,CAT SCAN TECH,N/a,700-704,0,04/2007,$0.00,9,0,11,24,"$10,019.00",1,56.30%,87,1
38699479,"$12,000","$12,000",15.59%,1.00%,"January 22, 2015","February 2, 2018","February 2, 2020",$0,MORTGAGE,"$3,833 / month",10.72%,4 years ,379xx,N/a,N/a,N/a,Community Relations Specialist,N/a,695-699,0,09/1995,$0.00,11,1,26,23,"$9,294.00",0,45.80%,n/a,1
38699781,"$20,000","$20,000",6.99%,1.00%,"January 27, 2015","January 20, 2018","January 20, 2020",$0,MORTGAGE,"$14,583 / month",15.51%,10+ years ,720xx,N/a,N/a,N/a,Attorney,N/a,710-714,0,04/1973,$0.00,9,0,24,45,"$14,433.00",9,29.70%,11,1
38699940,"$10,000","$10,000",6.03%,1.00%,"January 26, 2015","February 3, 2018","February 3, 2020",$0,RENT,"$10,000 / month",11.89%,3 years ,949xx,N/a,N/a,N/a,iOS Technical Lead and Software Engineer,N/a,810-814,0,03/2004,$0.00,10,0,16,n/a,$279.00,0,1.30%,n/a,0
38700159,"$10,000","$10,000",15.59%,1.00%,"January 27, 2015","January 20, 2018","January 20, 2020",$0,RENT,"$6,667 / month",15.15%,7 years ,945xx,N/a,N/a,N/a,ower,N/a,665-669,0,05/2004,$0.00,13,0,17,n/a,"$27,544.00",0,59.50%,n/a,0
