Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"February 6, 2015",39947925,"$6,500",7.89%,1.00%,Three years after issuance,Five years after issuance,RENT,"$2,917 / month",20.20%,2 years ,224xx,N/a,N/a,N/a,Teacher,N/a,705-709,0,08/2000,$0.00,5,0,17,n/a,"$6,657.00",0,73.20%,n/a,0,n/a
"February 6, 2015",39998020,"$17,000",11.53%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$3,333 / month",24.00%,5 years ,197xx,N/a,N/a,N/a,Administrative Secretary,N/a,670-674,0,09/1996,$0.00,15,0,26,24,"$14,755.00",0,50.00%,n/a,2,26
"February 6, 2015",40038892,"$24,000",18.84%,1.00%,Five years after issuance,Five years after issuance,RENT,"$5,000 / month",29.14%,9 years ,913xx,N/a,N/a,N/a,Federal Revenues Specialist,N/a,705-709,0,08/1995,$0.00,15,0,25,63,"$11,439.00",0,39.00%,n/a,0,n/a
"February 6, 2015",40118215,"$29,375",23.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$5,333 / month",37.41%,n/a,143xx,N/a,N/a,N/a,n/a,N/a,695-699,0,08/1995,$0.00,23,1,43,23,"$32,986.00",0,32.50%,n/a,1,23
"February 6, 2015",40138275,"$30,000",6.92%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$7,250 / month",20.08%,10+ years ,531xx,N/a,N/a,N/a,Store Manager,N/a,705-709,0,12/1994,$0.00,18,0,33,n/a,"$49,695.00",0,45.60%,n/a,0,n/a
"February 6, 2015",40197847,"$24,000",8.19%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$10,500 / month",16.21%,10+ years ,274xx,N/a,N/a,N/a,OPTOMETRIST/OWNER,N/a,810-814,0,01/1992,$0.00,14,0,22,n/a,"$15,787.00",0,16.00%,n/a,2,n/a
"February 6, 2015",40227788,"$8,000",8.19%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$4,583 / month",24.75%,10+ years ,674xx,N/a,N/a,N/a,teacher,N/a,665-669,0,02/1986,$0.00,7,0,26,55,"$4,142.00",0,96.30%,n/a,1,55
"February 6, 2015",40277700,"$12,000",17.57%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$4,167 / month",24.00%,10+ years ,301xx,N/a,N/a,N/a,Supervisor,N/a,675-679,0,02/2007,$0.00,9,0,18,36,"$5,634.00",0,43.30%,n/a,1,59
"February 6, 2015",40297345,"$13,000",9.99%,1.00%,Five years after issuance,Five years after issuance,OWN,"$3,750 / month",32.72%,< 1 year ,330xx,N/a,N/a,N/a,pipeline controlman trainee,N/a,670-674,0,11/2007,$0.00,13,1,16,12,"$7,272.00",0,33.40%,n/a,0,n/a
"February 6, 2015",40328330,"$35,000",10.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$19,917 / month",21.44%,10+ years ,229xx,N/a,N/a,N/a,Agent/Owner,N/a,720-724,0,03/1989,$0.00,12,0,41,n/a,"$92,609.00",0,91.20%,n/a,1,n/a
"February 6, 2015",40351605,"$6,000",8.19%,1.00%,Three years after issuance,Five years after issuance,RENT,"$2,376 / month",16.67%,5 years ,319xx,N/a,N/a,N/a,Material's,N/a,670-674,0,01/2007,$0.00,4,0,4,n/a,"$4,410.00",1,51.90%,38,0,n/a
"February 6, 2015",40353909,"$19,050",9.99%,1.00%,Three years after issuance,Five years after issuance,OWN,"$5,500 / month",27.36%,10+ years ,163xx,N/a,N/a,N/a,District Manager,N/a,700-704,0,07/1994,$0.00,14,0,28,46,"$22,787.00",0,57.00%,n/a,0,46
"February 6, 2015",40354335,"$15,000",6.68%,1.00%,Three years after issuance,Five years after issuance,OWN,"$4,000 / month",17.20%,2 years ,816xx,N/a,N/a,N/a,Insurance Manager/ Personal Assistant ,N/a,770-774,0,01/2002,$0.00,14,0,26,n/a,"$10,051.00",0,12.10%,n/a,0,n/a
"February 6, 2015",40354463,"$25,000",6.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$18,333 / month",23.45%,10+ years ,078xx,N/a,N/a,N/a,pres,N/a,750-754,0,04/1994,$0.00,20,0,43,n/a,"$40,762.00",0,43.70%,n/a,0,n/a
"February 6, 2015",40354521,"$7,000",8.18%,1.00%,Three years after issuance,Five years after issuance,RENT,"$2,917 / month",20.13%,10+ years ,726xx,N/a,N/a,N/a,Realtor,N/a,715-719,0,05/2000,$0.00,8,0,16,24,"$7,476.00",0,44.80%,n/a,0,n/a
"February 6, 2015",40354770,"$21,525",18.25%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$4,750 / month",36.27%,6 years ,337xx,N/a,N/a,N/a,GIS Tech,N/a,665-669,2,10/1993,$710.00,9,2,20,1,"$21,894.00",0,84.90%,n/a,1,n/a
"February 6, 2015",40354796,"$10,000",6.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$18,750 / month",29.40%,9 years ,487xx,N/a,N/a,N/a,Anesthetist,N/a,675-679,0,07/1984,$0.00,24,0,62,n/a,"$52,446.00",1,77.60%,43,1,n/a
"February 6, 2015",40354974,"$9,600",7.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$9,833 / month",10.58%,6 years ,114xx,N/a,N/a,N/a,Engineer,N/a,695-699,0,09/1999,$0.00,14,0,29,52,"$7,330.00",0,19.00%,n/a,0,53
"February 6, 2015",40355044,"$8,400",8.19%,1.00%,Three years after issuance,Five years after issuance,RENT,"$3,500 / month",10.23%,< 1 year ,302xx,N/a,N/a,N/a,welder,N/a,700-704,0,07/2010,$0.00,8,0,12,n/a,"$6,316.00",0,42.70%,n/a,0,n/a
"February 6, 2015",40355099,"$27,200",6.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,667 / month",19.39%,4 years ,600xx,N/a,N/a,N/a,Sales,N/a,755-759,0,09/1995,$0.00,7,0,12,n/a,"$35,761.00",0,63.70%,n/a,0,n/a
"February 6, 2015",40355112,"$8,000",7.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,333 / month",23.70%,10+ years ,705xx,N/a,N/a,N/a,fisherman,N/a,710-714,0,04/2002,$0.00,10,0,23,n/a,"$13,502.00",0,93.10%,n/a,0,n/a
"February 6, 2015",40355116,"$32,000",15.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$6,717 / month",23.02%,5 years ,451xx,N/a,N/a,N/a,Road Driver,N/a,675-679,0,08/2002,$0.00,10,0,35,59,"$14,073.00",0,75.70%,n/a,0,59
"February 6, 2015",40355190,"$15,000",8.19%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,250 / month",16.54%,2 years ,784xx,N/a,N/a,N/a,Associate Attorney,N/a,675-679,0,07/2008,$0.00,5,0,16,n/a,"$12,872.00",0,87.00%,n/a,0,n/a
"February 6, 2015",40355211,"$20,000",7.49%,1.00%,Three years after issuance,Five years after issuance,RENT,"$6,250 / month",22.40%,5 years ,752xx,N/a,N/a,N/a,MRI Technologist,N/a,710-714,0,03/2000,$0.00,8,0,30,28,"$9,596.00",0,80.00%,n/a,1,n/a
"February 6, 2015",40355360,"$20,000",6.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,667 / month",21.80%,10+ years ,457xx,N/a,N/a,N/a,operating engineer,N/a,700-704,0,09/1986,$0.00,14,0,34,30,"$16,441.00",0,45.90%,n/a,0,30
"February 6, 2015",40355399,"$15,000",11.53%,1.00%,Three years after issuance,Five years after issuance,OWN,"$5,833 / month",21.88%,10+ years ,457xx,N/a,N/a,N/a,RN,N/a,685-689,0,12/1994,$0.00,29,0,46,n/a,"$32,999.00",0,77.80%,n/a,0,n/a
"February 6, 2015",40355432,"$18,000",6.03%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,250 / month",8.43%,2 years ,898xx,N/a,N/a,N/a,technition,N/a,775-779,0,08/1971,$0.00,12,0,33,n/a,"$12,988.00",0,17.30%,n/a,0,n/a
"February 6, 2015",40355455,"$7,925",6.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$4,958 / month",21.57%,10+ years ,300xx,N/a,N/a,N/a,Teacher,N/a,690-694,0,10/1999,$0.00,39,0,76,n/a,"$14,991.00",0,26.10%,n/a,0,n/a
"February 6, 2015",40355661,"$9,600",6.39%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$10,667 / month",1.03%,10+ years ,070xx,N/a,N/a,N/a,Senior Building Engineer,N/a,720-724,0,07/1999,$0.00,9,0,21,42,"$3,536.00",0,20.80%,n/a,0,47
"February 6, 2015",40355677,"$15,000",6.49%,1.00%,Three years after issuance,Five years after issuance,OWN,"$2,917 / month",31.07%,10+ years ,600xx,N/a,N/a,N/a,n/a,N/a,675-679,0,05/1996,$0.00,15,0,42,25,"$15,965.00",0,60.90%,n/a,0,n/a
