Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
40500872,"$15,000","$15,000",19.99%,1.00%,"January 30, 2015","February 10, 2020","February 10, 2020",$0,RENT,"$4,917 / month",22.72%,7 years ,900xx,N/a,N/a,N/a,Scientist,N/a,685-689,0,08/1997,$0.00,18,0,53,39,"$22,185.00",0,46.50%,n/a,3
40500874,"$3,675","$3,675",14.99%,1.00%,"January 29, 2015","February 10, 2018","February 10, 2020",$0,MORTGAGE,"$1,833 / month",18.00%,2 years ,444xx,N/a,N/a,N/a,communicator,N/a,660-664,0,04/1990,$0.00,4,0,17,55,"$10,629.00",0,98.40%,n/a,0
40500887,"$12,500","$12,500",12.99%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,RENT,"$6,250 / month",25.70%,10+ years ,750xx,N/a,N/a,N/a,Teacher/Coach,N/a,690-694,0,12/1999,$0.00,13,0,25,35,"$11,730.00",0,58.10%,n/a,0
40500901,"$33,150","$33,150",15.99%,1.00%,"January 30, 2015","February 10, 2018","February 10, 2020",$0,OWN,"$6,017 / month",25.58%,3 years ,784xx,N/a,N/a,N/a,Equipment Operator,N/a,690-694,0,09/1996,$0.00,8,0,18,n/a,"$17,157.00",0,58.40%,n/a,1
40500915,"$5,000","$5,000",13.66%,1.00%,"January 30, 2015","February 10, 2018","February 10, 2020",$0,RENT,"$1,783 / month",18.62%,2 years ,900xx,N/a,N/a,N/a,security officer,N/a,690-694,0,01/2010,$0.00,6,0,10,50,"$3,541.00",0,44.30%,n/a,0
40500916,"$12,000","$12,000",14.31%,1.00%,"January 30, 2015","February 10, 2018","February 10, 2020",$0,MORTGAGE,"$3,750 / month",21.89%,10+ years ,840xx,N/a,N/a,N/a,Coach,N/a,660-664,0,09/2001,$0.00,17,0,28,44,"$15,423.00",5,62.40%,53,2
40500931,"$22,400","$22,400",11.44%,1.00%,"February 2, 2015","February 10, 2020","February 10, 2020",$0,MORTGAGE,"$12,500 / month",9.10%,10+ years ,956xx,N/a,N/a,N/a,Owner,N/a,710-714,0,08/1991,$0.00,15,0,39,43,"$51,480.00",0,50.80%,n/a,0
40500935,"$2,000","$2,000",12.39%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,RENT,"$5,000 / month",11.38%,< 1 year ,112xx,N/a,N/a,N/a,Editorial Manager,N/a,670-674,0,11/2005,$0.00,10,0,12,n/a,"$11,786.00",0,55.90%,n/a,0
40500981,"$7,200","$7,200",12.39%,1.00%,"February 2, 2015","February 10, 2018","February 10, 2020",$0,RENT,"$4,583 / month",5.72%,10+ years ,238xx,N/a,N/a,N/a,Control room operator ,N/a,695-699,0,09/2003,$0.00,13,0,21,30,"$3,800.00",0,11.20%,n/a,1
40500985,"$5,000","$5,000",11.99%,1.00%,"February 2, 2015","February 10, 2018","February 10, 2020",$0,RENT,"$3,333 / month",18.03%,10+ years ,770xx,N/a,N/a,N/a,Sales specialist,N/a,695-699,0,04/1998,$0.00,9,0,30,25,"$2,499.00",0,38.40%,n/a,0
