Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
647011,"$12,400","$12,400",8.67%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$5,833 / month",19.13%,2 years ,357xx,N/a,N/a,N/a,Communication Engineer,N/a,750-754,0,04/1997,$0.00,10,0,22,n/a,"$9,079.00",0,20.20%,n/a,0
6807397,"$32,000","$32,000",9.49%,1.00%,"February 3, 2015","February 13, 2020","February 13, 2020",$0,RENT,"$15,833 / month",15.88%,3 years ,853xx,N/a,N/a,N/a,Sales,N/a,695-699,0,09/1994,$0.00,19,0,37,37,"$14,675.00",0,33.70%,n/a,0
7077307,"$7,300","$7,300",18.54%,1.00%,"January 29, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$4,167 / month",3.41%,n/a,727xx,N/a,N/a,N/a,n/a,N/a,675-679,0,03/2006,$0.00,7,0,12,n/a,"$4,628.00",0,98.50%,n/a,0
7706142,"$8,000","$8,000",11.99%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$5,250 / month",27.24%,10+ years ,871xx,N/a,N/a,N/a,Assembler,N/a,670-674,0,08/1988,$0.00,12,0,27,n/a,"$7,693.00",1,70.60%,105,0
11367863,"$35,000","$35,000",19.99%,1.00%,"February 3, 2015","February 13, 2018","February 13, 2020",$0,MORTGAGE,"$10,000 / month",27.66%,10+ years ,920xx,N/a,N/a,N/a,Sr Director,N/a,665-669,0,02/1996,$0.00,33,0,62,n/a,"$44,009.00",1,69.70%,70,2
13547927,"$18,625","$18,625",10.49%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$7,083 / month",27.87%,3 years ,853xx,N/a,N/a,N/a,Senior Cost Estimator,N/a,695-699,0,03/1997,$0.00,9,0,39,n/a,"$2,064.00",0,39.70%,n/a,2
13858034,"$10,000","$10,000",25.89%,1.00%,"January 29, 2015","February 8, 2020","February 8, 2020",$0,RENT,"$2,083 / month",5.81%,2 years ,104xx,N/a,N/a,N/a,Security Guard,N/a,700-704,0,05/2011,$0.00,8,0,10,n/a,"$2,455.00",0,14.50%,n/a,1
14148004,"$12,000","$12,000",17.86%,1.00%,"January 29, 2015","February 9, 2020","February 9, 2020",$0,RENT,"$3,333 / month",14.44%,10+ years ,920xx,N/a,N/a,N/a,Owner,N/a,660-664,0,04/1996,$0.00,12,0,35,59,"$13,112.00",1,63.30%,58,3
15450021,"$15,025","$15,025",16.49%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$3,000 / month",18.83%,5 years ,605xx,N/a,N/a,N/a,Assistant Director ,N/a,660-664,0,05/2002,$0.00,13,0,27,57,"$21,749.00",0,73.50%,n/a,3
20668834,"$15,000","$15,000",15.99%,1.00%,"January 28, 2015","February 7, 2020","February 7, 2020",$0,MORTGAGE,"$5,417 / month",21.18%,6 years ,483xx,N/a,N/a,N/a,Account Executive,N/a,685-689,0,11/2008,$0.00,12,0,17,n/a,"$18,599.00",0,72.90%,n/a,1
27502394,"$16,000","$16,000",11.99%,1.00%,"February 3, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$8,000 / month",23.96%,10+ years ,075xx,N/a,N/a,N/a,Client Manager,N/a,660-664,0,11/1993,$0.00,17,0,28,25,"$46,095.00",0,82.80%,n/a,1
29174180,"$17,000","$17,000",16.49%,1.00%,"February 3, 2015","February 12, 2020","February 12, 2020",$0,MORTGAGE,"$8,583 / month",24.29%,8 years ,109xx,N/a,N/a,N/a,Police officer,N/a,665-669,0,04/2003,$0.00,19,0,36,70,"$47,358.00",0,80.10%,n/a,3
31517706,"$8,000","$8,000",14.31%,1.00%,"January 29, 2015","February 10, 2018","February 10, 2020",$0,MORTGAGE,"$7,917 / month",17.09%,10+ years ,190xx,N/a,N/a,N/a,nurse,N/a,680-684,0,04/1990,$0.00,19,3,48,10,"$6,620.00",0,22.70%,n/a,2
34763585,"$15,000","$15,000",8.67%,1.00%,"January 29, 2015","January 22, 2018","January 22, 2020",$0,RENT,"$5,417 / month",6.23%,10+ years ,112xx,N/a,N/a,N/a,Senior Manager Agency Relations,N/a,685-689,0,12/1991,$0.00,10,1,11,23,"$10,799.00",0,34.30%,n/a,1
34913985,"$12,000","$12,000",10.49%,1.00%,"January 28, 2015","February 4, 2020","February 4, 2020",$0,RENT,"$2,500 / month",22.85%,< 1 year ,333xx,N/a,N/a,N/a,Concierge,N/a,670-674,0,03/1978,$0.00,10,0,28,39,"$12,445.00",0,22.70%,n/a,0
36068701,"$21,600","$21,600",13.66%,1.00%,"January 30, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$5,000 / month",4.72%,4 years ,940xx,N/a,N/a,N/a,Researcher,N/a,690-694,0,03/2011,$0.00,12,0,15,n/a,"$10,643.00",0,37.20%,n/a,2
36079478,"$5,375","$5,375",16.49%,1.00%,"January 30, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$5,000 / month",29.50%,2 years ,550xx,N/a,N/a,N/a,Maintenance Mechanic,N/a,700-704,0,02/1995,$0.00,24,0,46,n/a,"$43,282.00",0,71.70%,n/a,0
37841440,"$25,000","$25,000",10.49%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$16,167 / month",13.97%,10+ years ,300xx,N/a,N/a,N/a,tax analyst,N/a,675-679,0,12/2002,$0.00,14,1,40,19,"$27,262.00",0,72.70%,n/a,1
38182010,"$20,000","$20,000",17.86%,1.00%,"January 28, 2015","February 5, 2018","February 5, 2020",$0,RENT,"$6,583 / month",17.09%,4 years ,980xx,N/a,N/a,N/a,Machinist,N/a,670-674,0,02/2001,$0.00,4,0,10,n/a,"$5,227.00",1,87.10%,39,1
38232456,"$24,000","$24,000",8.67%,1.00%,"February 2, 2015","February 4, 2018","February 4, 2020",$0,MORTGAGE,"$5,417 / month",15.09%,10+ years ,064xx,N/a,N/a,N/a,Installation/Repair Technician,N/a,715-719,0,09/1991,$0.00,13,0,32,n/a,"$21,397.00",0,51.60%,n/a,1
38281712,"$16,900","$16,900",14.31%,1.00%,"February 3, 2015","January 16, 2018","January 16, 2020",$0,RENT,"$6,250 / month",29.78%,9 years ,977xx,N/a,N/a,N/a,owner,N/a,695-699,0,04/1994,$0.00,15,0,22,n/a,"$33,437.00",0,64.30%,n/a,0
38331388,"$18,000","$18,000",14.99%,1.00%,"January 30, 2015","February 10, 2020","February 10, 2020",$0,MORTGAGE,"$5,417 / month",17.63%,4 years ,850xx,N/a,N/a,N/a,Manager,N/a,680-684,0,04/2007,$0.00,13,0,23,39,"$5,578.00",0,45.30%,n/a,1
38362584,"$8,000","$8,000",14.99%,1.00%,"February 2, 2015","February 5, 2018","February 5, 2020",$0,MORTGAGE,"$5,333 / month",23.55%,10+ years ,277xx,N/a,N/a,N/a,Teacher,N/a,710-714,0,06/2000,$0.00,16,0,32,41,"$3,211.00",0,17.20%,n/a,0
38416033,"$20,000","$20,000",6.49%,1.00%,"January 29, 2015","January 15, 2018","January 15, 2020",$0,OWN,"$10,417 / month",14.91%,5 years ,852xx,N/a,N/a,N/a,sales,N/a,740-744,0,10/1981,$0.00,19,0,51,34,"$4,625.00",0,4.80%,n/a,1
38417594,"$19,875","$19,875",19.99%,1.00%,"January 30, 2015","January 19, 2018","January 19, 2020",$0,MORTGAGE,"$3,875 / month",11.17%,n/a,469xx,N/a,N/a,N/a,n/a,N/a,665-669,0,11/1995,$0.00,8,1,31,20,"$11,639.00",1,52.00%,81,0
38417804,"$10,000","$10,000",14.99%,1.00%,"January 29, 2015","January 19, 2018","January 19, 2020",$0,MORTGAGE,"$2,633 / month",30.35%,10+ years ,487xx,N/a,N/a,N/a,Program Director/Counselor,N/a,660-664,0,06/2003,$0.00,18,0,40,n/a,"$17,148.00",0,70.90%,n/a,2
38417820,"$4,000","$4,000",16.49%,1.00%,"January 28, 2015","January 23, 2018","January 23, 2020",$0,RENT,"$1,333 / month",13.43%,9 years ,344xx,N/a,N/a,N/a,food service,N/a,660-664,0,01/2001,$0.00,9,0,16,n/a,"$3,744.00",0,26.60%,n/a,1
38419356,"$24,000","$24,000",15.59%,1.00%,"January 29, 2015","February 6, 2020","February 6, 2020",$0,MORTGAGE,"$9,000 / month",16.03%,10+ years ,958xx,N/a,N/a,N/a,Office Manager,N/a,700-704,0,03/1993,$0.00,27,0,55,33,"$5,997.00",2,13.90%,52,3
38426743,"$15,500","$15,500",9.49%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$9,126 / month",6.86%,< 1 year ,303xx,N/a,N/a,N/a,Pharmacist,N/a,660-664,0,09/1997,$0.00,10,0,63,n/a,"$20,777.00",2,94.40%,52,0
38428187,"$22,000","$22,000",22.99%,1.00%,"February 2, 2015","February 8, 2020","February 8, 2020",$0,MORTGAGE,"$4,167 / month",32.36%,10+ years ,469xx,N/a,N/a,N/a,Program technician,N/a,700-704,0,10/1997,$0.00,11,0,17,n/a,"$41,537.00",0,88.00%,n/a,0
38436385,"$20,000","$20,000",9.49%,1.00%,"January 28, 2015","February 3, 2018","February 3, 2020",$0,MORTGAGE,"$13,250 / month",2.68%,< 1 year ,021xx,N/a,N/a,N/a,Judge,N/a,670-674,0,03/1981,$0.00,5,7,22,3,"$2,325.00",0,55.40%,n/a,0
38436520,"$8,000","$8,000",13.66%,1.00%,"January 29, 2015","January 14, 2018","January 14, 2020",$0,RENT,"$3,333 / month",15.51%,< 1 year ,100xx,N/a,N/a,N/a,Junior Attorney,N/a,665-669,0,07/2008,$0.00,15,1,26,17,"$13,321.00",0,46.10%,n/a,2
38436521,"$22,750","$22,750",25.80%,1.00%,"January 29, 2015","January 14, 2020","January 14, 2020",$0,MORTGAGE,"$5,000 / month",11.00%,3 years ,672xx,N/a,N/a,N/a,Car Salesman,N/a,715-719,0,11/1999,$0.00,6,0,16,n/a,"$46,634.00",0,55.90%,n/a,1
38439421,"$14,400","$14,400",8.67%,1.00%,"January 29, 2015","January 20, 2020","January 20, 2020",$0,RENT,"$5,417 / month",8.42%,10+ years ,025xx,N/a,N/a,N/a,owner,N/a,680-684,0,11/1985,$0.00,6,0,15,31,"$24,545.00",0,55.90%,n/a,0
38449402,"$15,200","$15,200",6.99%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,MORTGAGE,"$10,467 / month",16.91%,10+ years ,335xx,N/a,N/a,N/a,IT Director,N/a,735-739,0,05/1999,$0.00,7,0,17,n/a,"$18,579.00",0,88.50%,n/a,0
38449455,"$24,000","$24,000",16.49%,1.00%,"January 28, 2015","January 25, 2020","January 25, 2020",$0,MORTGAGE,"$6,000 / month",36.57%,9 years ,061xx,N/a,N/a,N/a,COO,N/a,675-679,0,02/1998,$0.00,14,1,31,15,"$39,992.00",0,82.80%,n/a,1
38450590,"$35,000","$35,000",16.49%,1.00%,"February 2, 2015","January 30, 2018","January 30, 2020",$0,RENT,"$13,333 / month",7.33%,10+ years ,208xx,N/a,N/a,N/a,owner,N/a,690-694,0,03/2004,$0.00,4,1,14,17,"$29,670.00",0,77.70%,n/a,2
38455841,"$10,000","$10,000",15.99%,1.00%,"January 28, 2015","February 3, 2020","February 3, 2020",$0,RENT,"$4,167 / month",22.97%,n/a,495xx,N/a,N/a,N/a,n/a,N/a,695-699,0,06/2004,$0.00,14,0,26,28,"$9,165.00",0,51.00%,n/a,2
38455857,"$7,200","$7,200",8.19%,1.00%,"February 2, 2015","February 13, 2018","February 13, 2020",$0,RENT,"$2,917 / month",23.70%,5 years ,276xx,N/a,N/a,N/a,IT Analyst,N/a,740-744,0,01/2005,$0.00,9,0,20,n/a,"$5,683.00",0,29.80%,n/a,0
38457735,"$8,000","$8,000",9.49%,1.00%,"February 3, 2015","February 13, 2018","February 13, 2020",$0,MORTGAGE,"$16,667 / month",23.28%,n/a,077xx,N/a,N/a,N/a,n/a,N/a,695-699,0,07/1980,$0.00,13,0,23,n/a,"$68,056.00",0,91.40%,n/a,0
38457890,"$28,000","$28,000",14.99%,1.00%,"January 28, 2015","February 6, 2020","February 6, 2020",$0,RENT,"$8,333 / month",26.13%,1 year ,997xx,N/a,N/a,N/a,mechanic,N/a,705-709,0,09/2004,$0.00,12,0,16,n/a,"$16,448.00",0,83.10%,n/a,1
38458534,"$10,000","$10,000",7.49%,1.00%,"January 28, 2015","February 5, 2018","February 5, 2020",$0,MORTGAGE,"$4,167 / month",8.45%,< 1 year ,480xx,N/a,N/a,N/a,Driver/mechanic,N/a,730-734,0,08/1989,$0.00,5,0,12,n/a,"$7,006.00",0,93.40%,n/a,0
38459131,"$15,500","$15,500",23.99%,1.00%,"January 27, 2015","January 30, 2020","January 30, 2020",$0,RENT,"$3,750 / month",19.09%,4 years ,327xx,N/a,N/a,N/a,Dristic Manager,N/a,675-679,0,10/2005,$0.00,8,0,20,n/a,"$6,754.00",0,54.00%,n/a,0
38459416,"$10,000","$10,000",12.39%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$3,667 / month",30.63%,10+ years ,652xx,N/a,N/a,N/a,factory worker,N/a,705-709,0,12/2002,$0.00,12,0,27,n/a,"$15,854.00",0,56.80%,n/a,0
38467200,"$20,000","$20,000",6.99%,1.00%,"January 27, 2015","January 14, 2018","January 14, 2020",$0,MORTGAGE,"$5,417 / month",33.55%,1 year ,013xx,N/a,N/a,N/a,Special Needs Coordinator,N/a,740-744,0,01/2000,$0.00,9,0,22,n/a,"$17,400.00",0,37.30%,n/a,0
38468860,"$21,000","$21,000",12.39%,1.00%,"February 3, 2015","February 13, 2020","February 13, 2020",$0,MORTGAGE,"$7,875 / month",22.53%,10+ years ,189xx,N/a,N/a,N/a,President,N/a,705-709,0,04/1979,$0.00,15,1,59,16,"$64,775.00",0,59.60%,n/a,3
38470131,"$10,000","$10,000",11.44%,1.00%,"February 2, 2015","January 30, 2018","January 30, 2020",$0,RENT,"$4,000 / month",31.15%,< 1 year ,972xx,N/a,N/a,N/a,Registered nurse,N/a,735-739,0,02/2005,$0.00,9,0,22,n/a,"$3,728.00",0,38.80%,n/a,2
38475755,"$8,000","$8,000",11.44%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$16,250 / month",23.85%,10+ years ,077xx,N/a,N/a,N/a,Director,N/a,690-694,0,06/1999,$0.00,15,1,39,15,"$242,861.00",0,95.30%,n/a,0
38476559,"$18,000","$18,000",13.66%,1.00%,"January 28, 2015","February 7, 2018","February 7, 2020",$0,RENT,"$5,833 / month",18.67%,7 years ,334xx,N/a,N/a,N/a,IT Quality Assurance Engineer,N/a,690-694,0,09/2001,$0.00,11,0,15,n/a,"$9,549.00",0,71.30%,n/a,1
38478090,"$5,200","$5,200",10.49%,1.00%,"January 29, 2015","January 20, 2018","January 20, 2020",$0,RENT,"$3,250 / month",18.55%,4 years ,333xx,N/a,N/a,N/a,Surgical Tech,N/a,695-699,0,12/2002,$0.00,7,0,12,n/a,"$8,302.00",0,81.40%,n/a,0
38479003,"$30,000","$30,000",14.31%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$6,968 / month",14.04%,9 years ,156xx,N/a,N/a,N/a,Lineman,N/a,680-684,0,02/2005,$0.00,16,0,31,68,"$18,719.00",0,42.70%,n/a,1
38495454,"$12,000","$12,000",13.66%,1.00%,"January 28, 2015","January 12, 2018","January 12, 2020",$0,RENT,"$2,500 / month",20.28%,1 year ,954xx,N/a,N/a,N/a,Cellar Worker,N/a,665-669,0,08/2008,$0.00,11,0,13,n/a,"$7,413.00",0,44.70%,n/a,0
38497150,"$20,000","$20,000",18.54%,1.00%,"January 29, 2015","January 25, 2020","January 25, 2020",$0,RENT,"$5,833 / month",34.49%,2 years ,070xx,N/a,N/a,N/a,REGISTERED NURSE,N/a,670-674,0,05/2006,$0.00,24,0,30,n/a,"$27,116.00",0,76.40%,n/a,0
38505320,"$26,400","$26,400",10.49%,1.00%,"January 28, 2015","February 2, 2018","February 2, 2020",$0,RENT,"$5,000 / month",21.48%,3 years ,328xx,N/a,N/a,N/a,Teacher ,N/a,675-679,0,02/1987,$0.00,21,2,29,8,"$20,569.00",0,36.90%,n/a,1
38506150,"$24,000","$24,000",7.49%,1.00%,"January 30, 2015","January 13, 2018","January 13, 2020",$0,RENT,"$5,417 / month",24.24%,< 1 year ,478xx,N/a,N/a,N/a,registered nurse,N/a,695-699,0,06/1999,$0.00,19,0,45,n/a,"$16,763.00",1,20.80%,77,1
38507980,"$5,000","$5,000",25.80%,1.00%,"January 27, 2015","February 6, 2018","February 6, 2020",$0,MORTGAGE,"$3,333 / month",31.74%,< 1 year ,614xx,N/a,N/a,N/a,Foundry Specialist ,N/a,660-664,0,04/2010,$0.00,7,0,10,n/a,"$11,053.00",0,89.90%,n/a,1
38507989,"$1,000","$1,000",12.39%,1.00%,"January 27, 2015","January 17, 2018","January 17, 2020",$0,MORTGAGE,"$4,800 / month",16.77%,n/a,986xx,N/a,N/a,N/a,n/a,N/a,675-679,0,02/1999,$0.00,11,0,28,40,"$17,908.00",0,66.60%,n/a,1
38508738,"$5,000","$5,000",11.44%,1.00%,"January 29, 2015","February 10, 2018","February 10, 2020",$0,OWN,"$4,667 / month",24.88%,10+ years ,451xx,N/a,N/a,N/a,Office Manager,N/a,670-674,0,01/1996,$0.00,24,1,42,23,"$9,902.00",1,34.70%,44,1
38508805,"$4,150","$4,150",14.99%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$3,485 / month",31.45%,n/a,553xx,N/a,N/a,N/a,n/a,N/a,660-664,0,11/1984,$0.00,16,0,35,50,"$12,757.00",0,70.50%,n/a,1
38509950,"$23,000","$23,000",25.89%,1.00%,"January 29, 2015","January 20, 2020","January 20, 2020",$0,MORTGAGE,"$3,958 / month",16.53%,n/a,103xx,N/a,N/a,N/a,n/a,N/a,660-664,0,10/2001,$0.00,6,0,14,27,"$1,416.00",2,37.40%,32,0
38510187,"$6,000","$6,000",19.24%,1.00%,"February 3, 2015","February 13, 2018","February 13, 2020",$0,RENT,"$3,380 / month",28.05%,< 1 year ,210xx,N/a,N/a,N/a,CADD Drafter,N/a,685-689,0,07/2009,$0.00,19,2,21,12,"$12,550.00",0,36.00%,n/a,0
38514763,"$6,725","$6,725",11.99%,1.00%,"January 30, 2015","January 31, 2018","January 31, 2020",$0,MORTGAGE,"$6,250 / month",12.30%,10+ years ,852xx,N/a,N/a,N/a,Senior Lecturer,N/a,660-664,0,10/1999,$0.00,11,2,34,5,"$33,377.00",0,86.70%,n/a,1
38515973,"$3,000","$3,000",10.49%,1.00%,"January 27, 2015","February 7, 2018","February 7, 2020",$0,RENT,"$5,833 / month",33.70%,2 years ,070xx,N/a,N/a,N/a,Law School Relationship Manager,N/a,670-674,0,09/2005,$0.00,20,0,42,n/a,"$20,433.00",0,67.80%,n/a,1
38519097,"$10,000","$10,000",8.67%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$4,583 / month",16.10%,< 1 year ,180xx,N/a,N/a,N/a,Well tender,N/a,690-694,0,08/2003,$0.00,9,1,18,18,"$2,593.00",1,29.80%,68,1
38519158,"$20,000","$20,000",15.99%,1.00%,"February 2, 2015","February 10, 2020","February 10, 2020",$0,OWN,"$3,900 / month",33.46%,10+ years ,750xx,N/a,N/a,N/a,Data analyst,N/a,725-729,0,03/1994,$0.00,14,0,25,n/a,"$16,169.00",0,41.40%,n/a,0
38519615,"$6,075","$6,075",11.44%,1.00%,"February 2, 2015","January 21, 2018","January 21, 2020",$0,MORTGAGE,"$5,500 / month",30.57%,3 years ,781xx,N/a,N/a,N/a,Solutions Advisor,N/a,735-739,0,01/1988,$0.00,14,0,36,n/a,"$10,801.00",0,29.40%,n/a,1
38519638,"$7,200","$7,200",8.67%,1.00%,"January 28, 2015","January 20, 2018","January 20, 2020",$0,RENT,"$10,000 / month",9.28%,< 1 year ,201xx,N/a,N/a,N/a,Senior Security Analyst,N/a,660-664,0,03/1989,$0.00,12,0,33,31,"$7,041.00",3,46.00%,54,0
38519860,"$10,000","$10,000",13.66%,1.00%,"February 3, 2015","January 20, 2018","January 20, 2020",$0,MORTGAGE,"$5,417 / month",19.00%,10+ years ,752xx,N/a,N/a,N/a,owner,N/a,680-684,0,12/2000,$0.00,12,2,22,12,"$7,138.00",1,64.90%,9,0
38528381,"$12,000","$12,000",17.86%,1.00%,"February 2, 2015","February 6, 2020","February 6, 2020",$0,MORTGAGE,"$9,167 / month",33.22%,4 years ,344xx,N/a,N/a,N/a,Advisory Systems Engineer,N/a,695-699,0,05/2003,$0.00,30,0,52,n/a,"$51,327.00",0,74.00%,n/a,3
38528564,"$4,500","$4,500",19.24%,1.00%,"January 30, 2015","February 5, 2018","February 5, 2020",$0,OWN,"$1,108 / month",28.61%,n/a,363xx,N/a,N/a,N/a,n/a,N/a,695-699,0,01/2005,$0.00,11,0,29,n/a,"$10,996.00",0,36.70%,n/a,1
38528771,"$8,000","$8,000",11.44%,1.00%,"January 30, 2015","February 3, 2018","February 3, 2020",$0,RENT,"$2,917 / month",8.44%,< 1 year ,302xx,N/a,N/a,N/a,driver,N/a,660-664,0,05/2000,$0.00,8,0,18,49,"$3,527.00",0,21.10%,n/a,1
38536151,"$22,200","$22,200",12.39%,1.00%,"January 28, 2015","January 13, 2018","January 13, 2020",$0,OWN,"$8,333 / month",12.19%,< 1 year ,327xx,N/a,N/a,N/a,Senior Consultant,N/a,660-664,0,06/1988,$0.00,10,1,30,10,"$5,866.00",1,54.30%,50,0
38537968,"$28,800","$28,800",12.99%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$8,417 / month",30.38%,10+ years ,301xx,N/a,N/a,N/a,Director of Operations,N/a,710-714,0,11/1999,$0.00,15,0,35,n/a,"$24,565.00",0,51.10%,n/a,0
38538648,"$11,000","$11,000",11.44%,1.00%,"January 27, 2015","February 1, 2018","February 1, 2020",$0,MORTGAGE,"$3,125 / month",30.08%,5 years ,530xx,N/a,N/a,N/a,Accounts Payable Clerk,N/a,670-674,0,03/1984,$0.00,6,0,17,69,"$34,874.00",0,94.00%,n/a,1
38539403,"$17,750","$17,750",15.99%,1.00%,"January 29, 2015","January 31, 2020","January 31, 2020",$0,MORTGAGE,"$6,083 / month",15.95%,7 years ,945xx,N/a,N/a,N/a,Avp,N/a,705-709,0,10/2002,$0.00,6,0,25,n/a,"$23,622.00",0,91.90%,n/a,0
38539946,"$10,000","$10,000",19.24%,1.00%,"January 30, 2015","January 20, 2018","January 20, 2020",$0,RENT,"$7,500 / month",8.75%,10+ years ,430xx,N/a,N/a,N/a,president,N/a,670-674,0,05/1997,$0.00,7,1,23,14,"$5,062.00",0,27.70%,n/a,1
38540203,"$5,000","$5,000",13.66%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$5,167 / month",18.71%,4 years ,193xx,N/a,N/a,N/a,Strategic Account Manager,N/a,695-699,0,10/1993,$0.00,7,0,23,43,"$8,761.00",0,50.90%,n/a,1
38545494,"$25,000","$25,000",6.03%,1.00%,"January 30, 2015","February 10, 2018","February 10, 2020",$0,MORTGAGE,"$15,417 / month",16.36%,10+ years ,945xx,N/a,N/a,N/a,Registered Nurse,N/a,765-769,0,03/1986,$0.00,24,0,41,n/a,"$24,504.00",0,24.60%,n/a,1
38545707,"$25,600","$25,600",17.86%,1.00%,"January 28, 2015","January 13, 2018","January 13, 2020",$0,MORTGAGE,"$4,450 / month",14.40%,10+ years ,782xx,N/a,N/a,N/a,Owner,N/a,695-699,0,12/1990,$0.00,9,1,21,9,"$4,567.00",0,37.10%,n/a,0
38547666,"$16,525","$16,525",17.14%,1.00%,"February 2, 2015","January 31, 2020","January 31, 2020",$0,MORTGAGE,"$2,875 / month",16.10%,n/a,363xx,N/a,N/a,N/a,n/a,N/a,670-674,0,06/1986,$0.00,8,0,32,n/a,"$12,165.00",1,43.80%,38,0
38547806,"$9,650","$9,650",17.14%,1.00%,"January 29, 2015","February 5, 2018","February 5, 2020",$0,RENT,"$3,750 / month",11.44%,4 years ,481xx,N/a,N/a,N/a,Barber,N/a,685-689,0,12/1996,$0.00,31,0,68,n/a,"$8,400.00",0,75.70%,n/a,0
38547971,"$29,975","$29,975",10.49%,1.00%,"February 3, 2015","February 11, 2020","February 11, 2020",$0,OWN,"$8,583 / month",7.05%,< 1 year ,201xx,N/a,N/a,N/a,Systems Analys,N/a,675-679,0,01/1993,$0.00,10,0,42,38,"$14,630.00",0,29.40%,n/a,0
38548906,"$20,000","$20,000",15.99%,1.00%,"January 28, 2015","February 7, 2020","February 7, 2020",$0,MORTGAGE,"$4,000 / month",25.85%,10+ years ,199xx,N/a,N/a,N/a,maintance,N/a,690-694,0,11/1999,$0.00,8,0,17,n/a,"$3,157.00",0,73.40%,n/a,1
38549092,"$23,500","$23,500",13.66%,1.00%,"January 30, 2015","January 22, 2020","January 22, 2020",$0,MORTGAGE,"$11,667 / month",9.38%,9 years ,331xx,N/a,N/a,N/a,firefighteer,N/a,665-669,0,02/1999,$0.00,14,1,26,14,"$20,870.00",0,51.20%,n/a,1
38549250,"$18,825","$18,825",17.14%,1.00%,"February 3, 2015","February 2, 2018","February 2, 2020",$0,RENT,"$3,583 / month",27.32%,n/a,282xx,N/a,N/a,N/a,n/a,N/a,700-704,0,02/1994,$0.00,8,0,28,n/a,"$17,668.00",0,82.60%,n/a,0
38557345,"$32,000","$32,000",8.67%,1.00%,"January 28, 2015","February 6, 2018","February 6, 2020",$0,MORTGAGE,"$8,750 / month",15.13%,10+ years ,170xx,N/a,N/a,N/a,Manager Standards & Insights,N/a,685-689,0,03/1998,$0.00,9,1,21,5,"$28,370.00",0,56.00%,n/a,0
38557764,"$16,825","$16,825",15.99%,1.00%,"February 2, 2015","January 26, 2018","January 26, 2020",$0,MORTGAGE,"$5,500 / month",25.35%,10+ years ,434xx,N/a,N/a,N/a,Teacher,N/a,680-684,0,04/1999,$0.00,13,2,46,9,"$3,704.00",0,18.70%,n/a,0
38559635,"$14,975","$14,975",6.49%,1.00%,"February 2, 2015","January 29, 2018","January 29, 2020",$0,MORTGAGE,"$2,500 / month",26.12%,n/a,130xx,N/a,N/a,N/a,n/a,N/a,690-694,0,07/2000,$0.00,13,0,19,n/a,"$8,271.00",1,40.50%,115,0
38560106,"$10,000","$10,000",12.99%,1.00%,"January 29, 2015","February 10, 2018","February 10, 2020",$0,RENT,"$7,083 / month",3.44%,10+ years ,890xx,N/a,N/a,N/a,Supervisior,N/a,680-684,0,11/1992,$0.00,7,0,20,n/a,$749.00,1,3.00%,74,4
38568615,"$28,000","$28,000",14.31%,1.00%,"January 29, 2015","January 27, 2020","January 27, 2020",$0,OWN,"$6,667 / month",17.70%,10+ years ,304xx,N/a,N/a,N/a,Training Instructor,N/a,670-674,0,12/2002,$0.00,6,0,26,31,"$9,986.00",0,66.60%,n/a,0
38577124,"$33,200","$33,200",19.99%,1.00%,"February 2, 2015","January 20, 2020","January 20, 2020",$0,OWN,"$10,000 / month",21.57%,10+ years ,286xx,N/a,N/a,N/a,Transportation Coordinator,N/a,665-669,0,07/2003,$0.00,12,1,16,21,"$10,565.00",0,51.30%,n/a,0
