Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"January 7, 2015",38700103,"$11,400",15.59%,1.00%,Three years after issuance,Five years after issuance,OWN,"$2,167 / month",14.96%,n/a,351xx,N/a,N/a,N/a,n/a,N/a,670-674,0,12/1986,$0.00,11,1,12,15,"$11,213.00",0,39.10%,n/a,0,n/a
"January 7, 2015",38700400,"$8,000",15.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$2,750 / month",18.55%,2 years ,538xx,N/a,N/a,N/a,Special Ed Teacher's Aide,N/a,660-664,0,09/2004,$0.00,12,0,15,n/a,"$8,357.00",1,49.70%,82,0,n/a
"January 7, 2015",38700451,"$15,000",25.80%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$4,583 / month",2.92%,10+ years ,554xx,N/a,N/a,N/a,Owner,N/a,665-669,0,03/2005,$0.00,5,1,7,8,"$3,057.00",0,57.70%,n/a,1,8
"January 7, 2015",38700462,"$16,000",13.66%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$4,853 / month",24.29%,8 years ,554xx,N/a,N/a,N/a,Program Director,N/a,660-664,0,03/2004,$0.00,14,0,29,61,"$25,686.00",0,87.10%,n/a,0,n/a
"January 7, 2015",38700466,"$6,000",12.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$2,667 / month",22.47%,10+ years ,493xx,N/a,N/a,N/a,manager ,N/a,665-669,0,10/2003,$0.00,5,0,15,n/a,"$3,935.00",1,71.50%,27,1,n/a
"January 7, 2015",38700485,"$5,600",12.99%,1.00%,Three years after issuance,Five years after issuance,OWN,"$5,833 / month",14.73%,10+ years ,925xx,N/a,N/a,N/a,Immigration Services Analyst,N/a,665-669,0,01/1997,$0.00,13,0,48,n/a,"$9,937.00",1,40.70%,56,1,n/a
"January 7, 2015",38700493,"$5,375",19.24%,1.00%,Three years after issuance,Five years after issuance,RENT,"$1,500 / month",8.33%,n/a,794xx,N/a,N/a,N/a,n/a,N/a,670-674,0,01/2010,$0.00,6,0,6,n/a,"$2,291.00",0,44.10%,n/a,0,n/a
"January 7, 2015",38700497,"$28,000",6.03%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$10,000 / month",12.99%,5 years ,913xx,N/a,N/a,N/a,RN supervisor ,N/a,725-729,0,04/2010,$0.00,13,0,16,n/a,"$15,578.00",0,19.90%,n/a,0,n/a
"January 7, 2015",38700523,"$10,000",6.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$3,964 / month",15.20%,n/a,148xx,N/a,N/a,N/a,n/a,N/a,740-744,0,09/1999,$0.00,5,0,24,n/a,"$6,145.00",0,25.80%,n/a,0,n/a
"January 7, 2015",38700570,"$2,000",15.59%,1.00%,Three years after issuance,Five years after issuance,RENT,"$6,500 / month",36.02%,10+ years ,724xx,N/a,N/a,N/a,Asst. Executive Director,N/a,700-704,0,02/2002,$0.00,19,0,30,n/a,"$17,658.00",0,49.30%,n/a,0,n/a
"January 7, 2015",38700585,"$4,500",12.99%,1.00%,Three years after issuance,Five years after issuance,RENT,"$6,083 / month",9.39%,5 years ,953xx,N/a,N/a,N/a,Driver,N/a,665-669,0,11/2008,$0.00,7,0,8,n/a,"$22,421.00",0,82.40%,n/a,0,n/a
"January 7, 2015",38700589,"$14,300",14.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$15,000 / month",5.57%,2 years ,890xx,N/a,N/a,N/a,CEO,N/a,700-704,0,08/2004,$0.00,10,2,21,11,"$11,940.00",0,51.60%,n/a,3,n/a
"January 7, 2015",38700601,"$35,000",12.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$12,083 / month",9.51%,5 years ,761xx,N/a,N/a,N/a,Owner,N/a,710-714,0,12/2002,$0.00,10,0,19,n/a,"$25,927.00",0,41.90%,n/a,2,n/a
"January 7, 2015",38710114,"$25,600",7.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$9,833 / month",9.44%,9 years ,334xx,N/a,N/a,N/a,general manager,N/a,685-689,0,11/1998,$0.00,6,0,14,n/a,"$34,874.00",0,90.30%,n/a,0,n/a
"January 7, 2015",38710117,"$12,000",14.31%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$7,917 / month",17.73%,10+ years ,975xx,N/a,N/a,N/a,IT Manager,N/a,710-714,0,07/1983,$0.00,7,1,34,22,"$55,674.00",0,64.10%,n/a,0,27
"January 7, 2015",38710125,"$5,000",11.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$3,750 / month",8.27%,n/a,112xx,N/a,N/a,N/a,n/a,N/a,660-664,0,09/2001,$0.00,6,4,19,12,"$3,177.00",0,75.60%,n/a,1,12
"January 7, 2015",38722124,"$30,000",9.49%,1.00%,Five years after issuance,Five years after issuance,OWN,"$16,667 / month",11.28%,10+ years ,493xx,N/a,N/a,N/a,Senior Vice-President Employe Benefits,N/a,710-714,0,01/1981,$0.00,18,0,38,40,"$45,935.00",0,25.60%,n/a,1,n/a
"January 7, 2015",38722141,"$6,775",17.86%,1.00%,Three years after issuance,Five years after issuance,RENT,"$1,667 / month",13.69%,4 years ,330xx,N/a,N/a,N/a,patient care,N/a,660-664,0,09/2011,$0.00,8,0,8,n/a,"$8,248.00",0,44.60%,n/a,0,n/a
"January 7, 2015",38722154,"$14,000",12.39%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$6,000 / month",15.53%,10+ years ,606xx,N/a,N/a,N/a,manager,N/a,660-664,0,03/2000,$0.00,7,0,12,n/a,"$8,660.00",0,73.40%,n/a,0,n/a
"January 7, 2015",38732127,"$5,000",7.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$12,417 / month",8.53%,10+ years ,531xx,N/a,N/a,N/a,Resource Manager,N/a,695-699,0,11/1998,$0.00,16,0,52,n/a,"$9,980.00",0,51.40%,n/a,0,n/a
"January 7, 2015",38732134,"$22,400",12.39%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$4,167 / month",15.39%,10+ years ,489xx,N/a,N/a,N/a,NDT Team Leader,N/a,700-704,0,08/1999,$0.00,8,0,18,n/a,"$16,901.00",0,55.00%,n/a,0,n/a
