Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
442128,"$6,000","$6,000",12.87%,1.00%,"September 23, 2009","September 29, 2012","September 29, 2013",$0,RENT,"$2,417 / month",10.51%,8 years ,"SACRAMENTO, CA",__,__,__,N/a,__,679-713,0,12/1997,$0.00,6,1,9,23,"$1,980.00",0,46.00%,n/a,0
442144,"$10,500","$10,500",16.00%,1.00%,"September 23, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$7,833 / month",17.80%, 2 years 6 months,"OCALA, FL",__,__,__,N/a,__,660-678,0,01/2004,$0.00,13,0,22,n/a,"$42,530.00",0,84.50%,n/a,4
442145,"$20,000","$20,000",11.14%,1.00%,"September 23, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$9,167 / month",21.69%,20 years ,"Andover, CT",__,__,__,N/a,__,750-779,0,05/1982,$0.00,16,0,40,n/a,"$67,969.00",0,40.50%,n/a,2
442205,"$6,200","$6,200",19.82%,1.00%,"September 25, 2009","September 28, 2012","September 28, 2013",$0,RENT,"$1,600 / month",0.00%, 1 year 10 months,"Miami Gardens, FL",__,__,__,N/a,__,660-678,0,10/2005,$0.00,5,0,9,n/a,$0.00,1,0.00%,80,0
442206,"$10,000","$10,000",13.57%,1.00%,"September 25, 2009","September 28, 2012","September 28, 2013",$0,RENT,"$5,000 / month",7.30%,13 years ,"GARDEN CITY, NY",__,__,__,N/a,__,679-713,0,12/1994,$0.00,5,0,14,n/a,"$6,749.00",0,91.20%,n/a,0
442216,"$20,000","$20,000",17.74%,1.00%,"September 28, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$6,117 / month",14.06%, 2 years 1 month,"Meriden, CT",__,__,__,N/a,__,679-713,0,02/1998,$0.00,28,0,42,59,"$55,912.00",0,68.10%,n/a,2
442247,"$11,000","$11,000",8.94%,1.00%,"September 24, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$4,167 / month",23.18%, 2 years 4 months,"Shepherdsville, KY",__,__,__,N/a,__,714-749,0,10/1999,$0.00,19,0,62,n/a,"$11,557.00",0,46.20%,n/a,1
442271,"$18,000","$18,000",17.04%,1.00%,"September 28, 2009","September 28, 2012","September 28, 2013",$0,RENT,"$7,167 / month",6.81%,1 year ,"Rome, GA",__,__,__,N/a,__,660-678,0,03/1989,$0.00,7,0,20,n/a,"$4,418.00",0,96.00%,n/a,0
442326,"$11,700","$11,700",13.57%,1.00%,"September 24, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$4,633 / month",22.66%, 2 years 4 months,"Rapid City, SD",__,__,__,N/a,__,679-713,0,06/1994,$0.00,21,0,61,n/a,"$16,677.00",0,45.90%,n/a,1
442355,"$5,000","$5,000",12.53%,1.00%,"September 23, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$3,300 / month",2.97%, 2 years 1 month,"Albuquerque, NM",__,__,__,N/a,__,679-713,0,03/2002,$0.00,7,0,12,63,"$3,869.00",0,26.10%,n/a,0
